Elapsed time(s),ECG(mV),peak,foot GSR(mV),HR(bpm),marker(mV),RESP(mV)
12.581,-0.236,0,1.663,49.995,0,11.986
12.645,-0.007,0,1.658,73.993,0,12.71
12.71,0.314,1,1.658,73.993,0,12.73
12.774,0.114,0,1.658,73.993,0,12.744
12.839,-0.194,0,1.658,73.993,0,12.694
12.903,-0.201,0,1.657,73.993,0,12.644
12.968,-0.215,0,1.656,73.993,0,12.63
13.032,-0.228,0,1.656,73.993,0,12.618
13.097,-0.222,0,1.656,73.993,0,12.634
13.161,-0.204,0,1.656,73.993,0,12.678
13.226,-0.201,0,1.656,73.993,0,12.684
13.29,0.358,0,1.656,73.993,0,12.696
13.355,-0.248,0,1.656,73.993,0,12.706
13.419,-0.086,0,1.656,73.993,0,12.708
13.484,0.1,0,1.656,71.993,0,12.686
13.548,0.417,1,1.656,71.993,0,12.658
13.613,-0.011,0,1.653,71.993,0,12.614
13.677,-0.186,0,1.653,71.993,0,12.632
13.742,-0.18,0,1.653,71.993,0,12.608
13.806,-0.192,0,1.652,71.993,0,12.562
13.871,-0.184,0,1.652,71.993,0,12.538
13.935,-0.159,0,1.651,71.993,0,12.542
14,-0.112,0,1.651,71.993,0,12.554
14.065,0.51,0,1.651,71.993,0,12.522
14.129,-0.273,0,1.651,71.993,0,12.41
14.194,-0.015,0,1.651,71.993,0,12.276
14.258,0.112,0,1.651,71.993,0,12.14
14.323,0.43,1,1.651,71.993,0,12.016
14.387,0.278,0,1.651,71.993,0,11.904
14.452,-0.087,0,1.651,71.993,0,11.816
14.516,-0.081,0,1.651,74.993,0,11.774
14.581,-0.074,0,1.651,74.993,0,11.746
14.645,-0.083,0,1.651,74.993,0,11.684
14.71,-0.092,0,1.648,74.993,0,11.626
14.774,-0.103,0,1.648,74.993,0,11.576
14.839,-0.098,0,1.646,74.993,0,11.554
14.903,0.442,0,1.646,74.993,0,11.574
14.968,-0.312,0,1.646,74.993,0,11.598
15.032,-0.111,0,1.646,74.993,0,11.652
15.097,-0.006,0,1.646,70.993,0,11.746
15.161,0.295,1,1.646,70.993,0,11.86
15.226,0.215,0,1.646,70.993,0,11.978
15.29,-0.195,0,1.646,70.993,0,12.086
15.355,-0.237,0,1.646,70.993,0,12.186
15.419,-0.274,0,1.646,70.993,0,12.284
15.484,-0.286,0,1.646,70.993,0,12.426
15.548,-0.262,0,1.646,70.993,0,12.606
15.613,-0.251,0,1.643,70.993,0,12.818
15.677,0.332,0,1.643,70.993,0,13
15.742,-0.368,0,1.643,70.993,0,13.084
15.806,-0.106,0,1.642,70.993,0,13.076
15.871,0.069,0,1.641,79.992,0,12.978
15.935,0.369,1,1.641,79.992,0,12.912
16,0.01,0,1.641,79.992,0,12.874
16.065,-0.158,0,1.641,79.992,0,12.856
16.129,-0.169,0,1.641,79.992,0,12.828
16.194,-0.183,0,1.641,79.992,0,12.796
16.258,-0.181,0,1.641,79.992,0,12.764
16.323,-0.17,0,1.641,79.992,0,12.742
16.387,-0.144,0,1.639,79.992,0,12.732
16.452,0.483,0,1.638,79.992,0,12.728
16.516,-0.303,0,1.638,79.992,0,12.708
16.581,-0.088,0,1.638,79.992,0,12.7
16.645,0.04,0,1.637,74.993,0,12.702
16.71,0.371,1,1.636,74.993,0,12.704
16.774,0.224,0,1.638,74.993,0,12.696
16.839,-0.14,0,1.636,74.993,0,12.696
16.903,-0.143,0,1.636,74.993,0,12.7
16.968,-0.162,0,1.636,74.993,0,12.664
17.032,-0.178,0,1.636,74.993,0,12.632
17.097,-0.179,0,1.636,74.993,0,12.62
17.161,-0.159,0,1.636,74.993,0,12.614
17.226,-0.173,0,1.636,74.993,0,12.616
17.29,0.384,0,1.634,74.993,0,12.614
17.355,-0.189,0,1.633,74.993,0,12.608
17.419,-0.053,0,1.633,74.993,0,12.59
17.484,0.145,0,1.633,72.993,0,12.564
17.548,0.426,1,1.633,72.993,0,12.542
17.613,0.004,0,1.633,72.993,0,12.534
17.677,-0.133,0,1.633,72.993,0,12.542
17.742,-0.133,0,1.631,72.993,0,12.554
17.806,-0.156,0,1.631,72.993,0,12.524
17.871,-0.165,0,1.631,72.993,0,12.498
17.935,-0.166,0,1.631,72.993,0,12.484
18,-0.145,0,1.631,72.993,0,12.46
18.065,-0.115,0,1.631,72.993,0,12.45
18.129,0.207,0,1.631,72.993,0,12.458
18.194,0.035,0,1.631,72.993,0,12.468
18.258,-0.061,0,1.628,72.993,0,12.432
18.323,0.048,0,1.628,72.993,0,12.406
18.387,0.311,0,1.628,72.993,0,12.42
18.452,0.357,1,1.628,72.993,0,12.396
18.516,-0.05,0,1.627,72.993,0,12.332
18.581,-0.076,0,1.628,67.993,0,12.298
18.645,-0.099,0,1.628,67.993,0,12.278
18.71,-0.12,0,1.627,67.993,0,12.26
18.774,-0.123,0,1.627,67.993,0,12.232
18.839,-0.108,0,1.626,67.993,0,12.18
18.903,-0.092,0,1.626,67.993,0,12.162
18.968,-0.062,0,1.626,67.993,0,12.152
19.032,0.021,0,1.626,67.993,0,12.156
19.097,0.284,0,1.624,67.993,0,12.084
19.161,-0.017,0,1.623,67.993,0,12.01
19.226,0.077,0,1.623,67.993,0,12.006
19.29,0.294,0,1.623,67.993,0,11.996
19.355,0.453,1,1.623,67.993,0,11.994
19.419,0.036,0,1.623,67.993,0,11.97
19.484,-0.042,0,1.623,67.993,0,11.944
19.548,-0.065,0,1.621,64.994,0,11.89
19.613,-0.083,0,1.623,64.994,0,11.85
19.677,-0.075,0,1.622,64.994,0,11.834
19.742,-0.069,0,1.621,64.994,0,11.822
19.806,-0.067,0,1.621,64.994,0,11.81
19.871,-0.066,0,1.621,64.994,0,11.796
19.935,-0.084,0,1.619,64.994,0,11.73
20,0.326,0,1.618,64.994,0,11.644
20.065,-0.105,0,1.618,64.994,0,11.598
20.129,-0.02,0,1.618,64.994,0,11.586
20.194,0.172,0,1.618,64.994,0,11.608
20.258,0.39,1,1.618,64.994,0,11.674
20.323,-0.051,0,1.618,64.994,0,11.778
20.387,-0.177,0,1.618,64.994,0,11.902
20.452,-0.211,0,1.618,64.994,0,12.004
20.516,-0.244,0,1.617,64.994,0,12.08
20.581,-0.261,0,1.618,64.994,0,12.178
20.645,-0.274,0,1.616,64.994,0,12.286
20.71,-0.258,0,1.616,64.994,0,12.382
20.774,-0.198,0,1.616,64.994,0,12.486
20.839,0.073,0,1.616,64.994,0,12.592
20.903,-0.233,0,1.616,64.994,0,12.688
20.968,-0.113,0,1.616,64.994,0,12.77
21.032,0.13,0,1.613,71.993,0,12.85
21.097,0.301,1,1.613,71.993,0,12.912
21.161,-0.144,0,1.613,71.993,0,12.946
21.226,-0.201,0,1.613,71.993,0,12.962
21.29,-0.195,0,1.613,71.993,0,12.95
21.355,-0.198,0,1.613,71.993,0,12.95
21.419,-0.184,0,1.613,71.993,0,12.924
21.484,-0.151,0,1.613,71.993,0,12.844
21.548,-0.168,0,1.611,71.993,0,12.74
21.613,0.325,0,1.611,71.993,0,12.618
21.677,-0.14,0,1.611,71.993,0,12.516
21.742,-0.009,0,1.611,71.993,0,12.438
21.806,0.215,0,1.609,75.992,0,12.354
21.871,0.433,1,1.608,75.992,0,12.272
21.935,-0.007,0,1.608,75.992,0,12.198
22,-0.083,0,1.608,75.992,0,12.144
22.065,-0.088,0,1.608,75.992,0,12.074
22.129,-0.1,0,1.608,75.992,0,11.996
22.194,-0.099,0,1.608,75.992,0,11.93
22.258,-0.103,0,1.608,75.992,0,11.884
22.323,-0.108,0,1.608,75.992,0,11.852
22.387,0.483,0,1.606,75.992,0,11.818
22.452,-0.222,0,1.607,75.992,0,11.794
22.516,-0.115,0,1.606,75.992,0,11.824
22.581,-0.011,0,1.606,73.993,0,11.938
22.645,0.312,1,1.604,73.993,0,12.092
22.71,0.117,0,1.604,73.993,0,12.26
22.774,-0.229,0,1.603,73.993,0,12.556
22.839,-0.219,0,1.603,73.993,0,12.564
22.903,-0.222,0,1.603,73.993,0,12.714
22.968,-0.224,0,1.603,73.993,0,12.844
23.032,-0.195,0,1.603,73.993,0,12.922
23.097,0.03,0,1.603,73.993,0,12.896
23.161,-0.011,0,1.603,73.993,0,12.792
23.226,-0.149,0,1.603,73.993,0,12.718
23.29,-0.03,0,1.603,81.992,0,12.668
23.355,0.274,0,1.603,81.992,0,12.632
23.419,0.298,1,1.602,81.992,0,12.614
23.484,-0.111,0,1.601,81.992,0,12.602
23.548,-0.127,0,1.601,81.992,0,12.57
23.613,-0.14,0,1.599,81.992,0,12.448
23.677,-0.152,0,1.598,81.992,0,12.34
23.742,-0.15,0,1.598,81.992,0,12.296
23.806,-0.124,0,1.598,81.992,0,12.282
23.871,-0.144,0,1.598,81.992,0,12.282
23.935,0.399,0,1.598,81.992,0,12.314
24,-0.136,0,1.598,81.992,0,12.312
24.065,-0.002,0,1.598,81.992,0,12.254
24.129,0.205,0,1.598,81.992,0,12.21
24.194,0.492,1,1.598,81.992,0,12.18
24.258,0.08,0,1.597,81.992,0,12.106
24.323,-0.048,0,1.596,74.993,0,12.026
24.387,-0.048,0,1.596,74.993,0,11.93
24.452,-0.059,0,1.596,74.993,0,11.838
24.516,-0.059,0,1.596,74.993,0,11.768
24.581,-0.055,0,1.596,74.993,0,11.716
24.645,-0.05,0,1.594,74.993,0,11.668
24.71,-0.038,0,1.594,74.993,0,11.618
24.774,0.552,0,1.594,74.993,0,11.594
24.839,-0.281,0,1.594,74.993,0,11.558
24.903,-0.025,0,1.594,74.993,0,11.54
24.968,0.088,0,1.594,74.993,0,11.54
25.032,0.376,1,1.594,74.993,0,11.556
25.097,0.191,0,1.594,74.993,0,11.596
25.161,-0.128,0,1.594,68.993,0,11.666
25.226,-0.151,0,1.591,68.993,0,11.75
25.29,-0.183,0,1.591,68.993,0,11.806
25.355,-0.203,0,1.591,68.993,0,11.878
25.419,-0.216,0,1.589,68.993,0,11.964
25.484,-0.229,0,1.589,68.993,0,12.062
25.548,-0.217,0,1.589,68.993,0,12.152
25.613,0.363,0,1.589,68.993,0,12.244
25.677,-0.429,0,1.589,68.993,0,12.35
25.742,-0.174,0,1.589,68.993,0,12.476
25.806,-0.042,0,1.589,70.993,0,12.606
25.871,0.271,1,1.589,70.993,0,12.74
25.935,0.157,0,1.589,70.993,0,12.872
26,-0.184,0,1.589,70.993,0,12.996
26.065,-0.199,0,1.589,70.993,0,13.072
26.129,-0.21,0,1.586,70.993,0,13.1
26.194,-0.21,0,1.586,70.993,0,13.076
26.258,-0.195,0,1.586,70.993,0,13
26.323,-0.158,0,1.586,70.993,0,12.904
26.387,0.26,0,1.586,70.993,0,12.796
26.452,-0.14,0,1.584,70.993,0,12.692
26.516,-0.072,0,1.584,70.993,0,12.6
26.581,0.056,0,1.584,74.993,0,12.514
26.645,0.361,1,1.584,74.993,0,12.428
26.71,0.322,0,1.584,74.993,0,12.352
26.774,-0.061,0,1.584,74.993,0,12.28
26.839,-0.063,0,1.582,74.993,0,12.214
26.903,-0.07,0,1.581,74.993,0,12.126
26.968,-0.075,0,1.582,74.993,0,12.046
27.032,-0.057,0,1.581,74.993,0,11.99
27.097,-0.043,0,1.58,74.993,0,11.944
27.161,-0.039,0,1.579,74.993,0,11.92
27.226,-0.022,0,1.579,74.993,0,11.906
27.29,0.599,0,1.579,74.993,0,11.926
27.355,-0.235,0,1.579,74.993,0,11.952
27.419,0.029,0,1.579,74.993,0,11.95
27.484,0.162,0,1.579,74.993,0,11.94
27.548,0.479,1,1.579,74.993,0,11.924
27.613,0.326,0,1.579,74.993,0,11.862
27.677,-0.013,0,1.579,74.993,0,11.792
27.742,-0.021,0,1.579,66.993,0,11.734
27.806,-0.04,0,1.576,66.993,0,11.66
27.871,-0.065,0,1.579,66.993,0,11.608
27.935,-0.08,0,1.576,66.993,0,11.582
28,-0.097,0,1.576,66.993,0,11.572
28.065,-0.114,0,1.579,66.993,0,11.56
28.129,-0.123,0,1.579,66.993,0,11.592
28.194,-0.144,0,1.579,66.993,0,11.648
28.258,0.327,0,1.579,66.993,0,11.73
28.323,-0.167,0,1.579,66.993,0,11.828
28.387,-0.047,0,1.577,66.993,0,11.928
28.452,0.147,0,1.579,62.994,0,12.024
28.516,0.42,1,1.579,62.994,0,12.118
28.581,-0.014,0,1.581,62.994,0,12.198
28.645,-0.155,0,1.581,62.994,0,12.28
28.71,-0.173,0,1.582,62.994,0,12.328
28.774,-0.193,0,1.587,62.994,0,12.374
28.839,-0.191,0,1.59,62.994,0,12.426
28.903,-0.18,0,1.592,62.994,0,12.474
28.968,-0.16,0,1.595,62.994,0,12.544
29.032,-0.124,0,1.596,62.994,0,12.572
29.097,0.491,0,1.598,62.994,0,12.57
29.161,-0.306,0,1.598,62.994,0,12.538
29.226,-0.025,0,1.598,62.994,0,12.508
29.29,0.121,0,1.602,69.993,0,12.486
29.355,0.44,1,1.603,69.993,0,12.47
29.419,0.192,0,1.602,69.993,0,12.45
29.484,-0.076,0,1.603,69.993,0,12.416
29.548,-0.08,0,1.603,69.993,0,12.374
29.613,-0.104,0,1.603,69.993,0,12.308
29.677,-0.109,0,1.606,69.993,0,12.252
29.742,-0.101,0,1.606,69.993,0,12.236
29.806,-0.09,0,1.609,69.993,0,12.23
29.871,-0.081,0,1.611,69.993,0,12.23
29.935,-0.053,0,1.611,69.993,0,12.2
30,0.473,0,1.611,69.993,0,12.144
30.065,-0.142,0,1.608,69.993,0,12.056
30.129,0.011,0,1.608,69.993,0,11.99
30.194,0.124,0,1.611,69.993,0,11.938
30.258,0.418,1,1.611,69.993,0,11.894
30.323,0.402,0,1.611,69.993,0,11.856
30.387,-0.012,0,1.615,69.993,0,11.83
30.452,-0.035,0,1.634,64.994,0,11.808
30.516,-0.05,0,1.638,64.994,0,11.766
30.581,-0.074,0,1.636,64.994,0,11.726
30.645,-0.079,0,1.633,64.994,0,11.712
30.71,-0.077,0,1.631,64.994,0,11.696
30.774,-0.075,0,1.631,64.994,0,11.688
30.839,-0.075,0,1.633,64.994,0,11.698
30.903,-0.058,0,1.633,64.994,0,11.732
30.968,0.462,0,1.636,64.994,0,11.74
31.032,-0.187,0,1.637,64.994,0,11.734
31.097,0.012,0,1.644,64.994,0,11.72
31.161,0.163,0,1.646,64.994,0,11.718
31.226,0.467,1,1.642,64.994,0,11.732
31.29,0.151,0,1.642,64.994,0,11.746
31.355,-0.129,0,1.639,62.994,0,11.778
31.419,-0.145,0,1.632,62.994,0,11.79
31.484,-0.176,0,1.631,62.994,0,11.792
31.548,-0.199,0,1.631,62.994,0,11.854
31.613,-0.212,0,1.629,62.994,0,11.954
31.677,-0.224,0,1.631,62.994,0,12.158
31.742,-0.207,0,1.629,62.994,0,12.166
31.806,0.153,0,1.632,62.994,0,12.298
31.871,-0.181,0,1.637,62.994,0,12.414
31.935,-0.039,0,1.648,62.994,0,12.516
32,0.034,0,1.659,62.994,0,12.592
32.065,0.27,0,1.661,67.993,0,12.644
32.129,0.33,1,1.658,67.993,0,12.656
32.194,-0.081,0,1.657,67.993,0,12.616
32.258,-0.116,0,1.656,67.993,0,12.492
32.323,-0.119,0,1.656,67.993,0,12.49
32.387,-0.115,0,1.656,67.993,0,12.446
32.452,-0.104,0,1.656,67.993,0,12.406
32.516,-0.095,0,1.656,67.993,0,12.328
32.581,-0.065,0,1.654,67.993,0,12.22
32.645,0.365,0,1.653,67.993,0,12.112
32.71,-0.091,0,1.651,67.993,0,12.012
32.774,-0.018,0,1.651,67.993,0,11.934
32.839,0.098,0,1.651,67.993,0,11.904
32.903,0.388,0,1.651,67.993,0,11.88
32.968,0.394,0,1.648,67.993,0,11.87
33.032,-0.032,0,1.648,67.993,0,11.85
33.097,-0.051,0,1.648,70.993,0,11.828
33.161,-0.08,0,1.646,70.993,0,11.778
33.226,-0.098,0,1.646,70.993,0,11.738
33.29,-0.102,0,1.646,70.993,0,11.71
33.355,-0.128,0,1.646,70.993,0,11.724
33.419,-0.112,0,1.646,70.993,0,11.72
33.484,-0.014,0,1.646,70.993,0,11.672
33.548,0.093,0,1.646,70.993,0,11.586
33.613,-0.09,0,1.644,70.993,0,11.474
33.677,0.012,0,1.643,70.993,0,11.368
33.742,0.291,0,1.643,69.993,0,11.324
33.806,0.293,0,1.643,69.993,0,11.376
33.871,-0.029,0,1.643,69.993,0,11.518
33.935,-0.177,0,1.643,69.993,0,11.718
34,-0.192,0,1.641,69.993,0,11.954
34.065,-0.285,0,1.641,69.993,0,12.232
34.129,-0.259,0,1.641,69.993,0,12.24
34.194,-0.256,0,1.643,69.993,0,12.402
34.258,0.076,0,1.643,69.993,0,12.62
34.323,-0.171,0,1.643,69.993,0,12.77
34.387,-0.191,0,1.641,69.993,0,12.846
34.452,0.207,0,1.641,77.992,0,12.698
34.516,0.322,0,1.638,77.992,0,12.56
34.581,0.297,0,1.638,77.992,0,12.682
34.645,-0.136,0,1.637,77.992,0,12.9
34.71,-0.153,0,1.638,77.992,0,12.888
34.774,-0.178,0,1.636,77.992,0,13.056
34.839,-0.201,0,1.636,77.992,0,13.066
34.903,-0.207,0,1.634,77.992,0,13.14
34.968,-0.148,0,1.633,77.992,0,13.276
35.032,0.341,0,1.633,77.992,0,13.342
35.097,-0.29,0,1.631,77.992,0,13.39
35.161,-0.104,0,1.631,77.992,0,13.51
35.226,0.037,0,1.631,77.992,0,13.568
35.29,0.317,0,1.631,77.992,0,13.578
35.355,0.278,0,1.631,77.992,0,13.61
35.419,-0.127,0,1.631,77.992,0,13.626
35.484,-0.135,0,1.628,77.992,0,13.622
35.548,-0.158,0,1.628,77.992,0,13.612
35.613,-0.15,0,1.628,77.992,0,13.578
35.677,-0.177,0,1.627,77.992,0,13.514
35.742,-0.145,0,1.626,77.992,0,13.506
35.806,0.367,0,1.626,77.992,0,13.516
35.871,-0.301,0,1.627,77.992,0,13.524
35.935,-0.107,0,1.627,77.992,0,13.482
36,0.019,0,1.624,76.992,0,13.464
36.065,0.306,0,1.624,76.992,0,13.448
36.129,0.242,0,1.626,76.992,0,13.468
36.194,-0.155,0,1.623,76.992,0,13.448
36.258,-0.16,0,1.623,76.992,0,13.432
36.323,-0.181,0,1.624,76.992,0,13.414
