Elapsed time(s),ECG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
6.194,-0.108,19.26,8.093,70,13.08,33.71
6.258,0.118,19.25,8.09,70,13.08,33.7
6.323,-0.094,19.241,8.085,70,13.08,33.76
6.387,-0.082,19.232,8.083,70,13.08,33.86
6.452,-0.02,19.225,8.078,70,13.08,34.05
6.516,0.091,19.216,8.074,67,13.08,34.35
6.581,0.037,19.208,8.07,67,13.08,34.71
6.645,-0.1,19.202,8.065,67,13.06,35.01
6.71,-0.092,19.195,8.063,67,13.06,35.34
6.774,-0.1,19.19,8.06,67,13.06,35.68
6.839,-0.113,19.184,8.055,67,13.06,35.91
6.903,-0.1,19.177,8.053,67,13.06,36.23
6.968,-0.041,19.172,8.049,67,13.06,36.55
7.032,-0.124,19.167,8.045,67,13.06,36.88
7.097,0.16,19.161,8.042,67,13.06,37.16
7.161,-0.084,19.155,8.039,67,13.06,37.37
7.226,-0.047,19.15,8.037,67,13.06,37.52
7.29,0.036,19.145,8.035,72,13.06,37.61
7.355,0.124,19.14,8.031,72,13.06,37.62
7.419,-0.013,19.134,8.028,72,13.06,37.65
7.484,-0.069,19.128,8.025,72,13.06,37.62
7.548,-0.056,19.123,8.021,72,13.06,37.54
7.613,-0.071,19.116,8.018,72,13.06,37.39
7.677,-0.079,19.11,8.016,72,13.06,37.23
7.742,-0.078,19.105,8.012,72,13.06,37.13
7.806,-0.078,19.098,8.01,72,13.06,36.99
7.871,-0.004,19.09,8.006,72,13.06,36.95
7.935,-0.068,19.084,8.002,72,13.06,36.86
8,0.151,19.078,8,72,13.06,36.74
8.065,-0.024,19.07,7.997,72,13.06,36.65
8.129,-0.021,19.064,7.993,72,13.06,36.58
8.194,0.043,19.057,7.991,72,13.06,36.53
8.258,0.157,19.051,7.986,72,13.06,36.47
8.323,0.119,19.043,7.983,72,13.06,36.42
8.387,-0.022,19.036,7.981,72,13.06,36.36
8.452,-0.017,19.029,7.977,64,13.06,36.3
8.516,-0.022,19.022,7.973,64,13.06,36.22
8.581,-0.039,19.014,7.971,64,13.06,36
8.645,-0.043,19.008,7.967,64,13.06,35.85
8.71,-0.045,19.002,7.965,64,13.06,35.65
8.774,-0.042,18.994,7.961,64,13.06,35.51
8.839,-0.034,18.987,7.958,64,13.06,35.39
8.903,0.045,18.981,7.956,64,13.06,35.24
8.968,-0.04,18.974,7.952,64,13.06,35.1
9.032,0.213,18.966,7.949,64,13.06,34.96
9.097,-0.016,18.959,7.946,64,13.06,34.84
9.161,0.019,18.952,7.944,64,13.06,34.7
9.226,0.098,18.945,7.941,64,13.06,34.62
9.29,0.217,18.939,7.936,64,13.06,34.56
9.355,0.117,18.931,7.934,64,13.06,34.5
9.419,-0.008,18.926,7.931,64,13.06,34.44
9.484,0.001,18.919,7.929,59,13.06,34.39
9.548,-0.009,18.914,7.925,59,13.06,34.3
9.613,-0.026,18.907,7.923,59,13.06,34.12
9.677,-0.031,18.901,7.92,59,13.06,34.09
9.742,-0.031,18.896,7.918,59,13.05,34.06
9.806,-0.028,18.889,7.914,59,13.06,34.05
9.871,-0.024,18.884,7.913,59,13.06,34.07
9.935,0.036,18.879,7.909,59,13.06,34.09
10,0.003,18.874,7.906,59,13.06,34.09
10.065,0.095,18.867,7.904,59,13.05,34.09
10.129,0.106,18.862,7.901,59,13.06,34.09
10.194,0.017,18.854,7.898,59,13.05,34.1
10.258,0.073,18.849,7.895,59,13.05,34.1
10.323,0.191,18.842,7.893,59,13.06,34.11
10.387,0.204,18.835,7.89,59,13.05,34.11
10.452,0.016,18.829,7.888,59,13.05,34.12
10.516,0.005,18.823,7.884,59,13.06,34.12
10.581,0.005,18.817,7.881,56,13.06,34.13
10.645,-0.009,18.81,7.879,56,13.06,34.04
10.71,-0.019,18.804,7.876,56,13.06,34
10.774,-0.021,18.798,7.874,56,13.06,34.02
10.839,-0.018,18.792,7.871,56,13.06,34
10.903,-0.016,18.785,7.869,56,13.06,34.03
10.968,0.046,18.778,7.865,56,13.06,34.05
11.032,0.005,18.771,7.863,56,13.05,34.05
11.097,0.123,18.765,7.861,56,13.05,34.04
11.161,0.091,18.758,7.858,56,13.05,34.05
11.226,0.025,18.75,7.856,56,13.05,34.05
11.29,0.083,18.743,7.852,56,13.06,34.05
11.355,0.206,18.737,7.849,56,13.06,34.06
11.419,0.209,18.73,7.846,56,13.05,34.06
11.484,0.022,18.723,7.843,56,13.05,34.08
11.548,0.012,18.717,7.841,56,13.05,34.07
11.613,0.011,18.71,7.838,58,13.05,34.08
11.677,-0.006,18.703,7.834,58,13.05,34
11.742,-0.017,18.698,7.832,58,13.06,33.98
11.806,-0.02,18.69,7.829,58,13.05,33.98
11.871,-0.022,18.685,7.827,58,13.05,33.97
11.935,-0.019,18.678,7.824,58,13.06,33.99
12,0.06,18.675,7.822,58,13.05,34.02
12.065,-0.025,18.668,7.818,58,13.05,34
12.129,0.22,18.665,7.816,58,13.05,34
12.194,-0.004,18.66,7.813,58,13.05,34
12.258,0.03,18.657,7.809,58,13.05,34
12.323,0.101,18.653,7.807,58,13.05,34
12.387,0.23,18.65,7.804,58,13.05,34
12.452,0.14,18.647,7.801,58,13.05,34.03
12.516,0.002,18.643,7.798,58,13.05,34.03
12.581,0.007,18.64,7.796,59,13.05,34.06
12.645,-0.002,18.637,7.793,59,13.05,34.04
12.71,-0.02,18.634,7.791,59,13.05,33.96
12.774,-0.029,18.63,7.788,59,13.05,33.97
12.839,-0.033,18.628,7.784,59,13.05,33.95
12.903,-0.034,18.626,7.782,59,13.05,33.96
12.968,0.033,18.622,7.779,59,13.05,34.02
13.032,-0.032,18.62,7.777,59,13.05,34.11
13.097,0.18,18.616,7.775,59,13.05,34.24
13.161,-0.014,18.613,7.772,59,13.05,34.46
13.226,-0.014,18.608,7.769,59,13.05,34.71
13.29,0.044,18.603,7.766,59,13.05,35.02
13.355,0.161,18.601,7.764,60,13.05,35.33
13.419,0.129,18.594,7.757,60,13.05,35.7
13.484,-0.032,18.59,7.757,60,13.05,36.07
13.548,-0.037,18.588,7.755,60,13.05,36.45
13.613,-0.05,18.583,7.754,60,13.05,36.7
13.677,-0.052,18.578,7.751,60,13.05,36.93
13.742,-0.058,18.573,7.747,60,13.05,37.22
13.806,-0.001,18.568,7.745,60,13.05,37.51
13.871,-0.038,18.563,7.742,60,13.05,37.83
13.935,0.083,18.558,7.74,60,13.05,38.32
14,0.075,18.553,7.737,60,13.05,38.33
14.065,-0.022,18.548,7.735,60,13.05,38.58
14.129,0.035,18.543,7.731,60,13.05,38.79
14.194,0.152,18.538,7.736,60,13.05,38.92
14.258,0.148,18.534,7.746,60,13.05,38.99
14.323,-0.005,18.527,7.74,60,13.05,39.03
14.387,0.004,18.524,7.736,60,13.05,38.95
14.452,-0.001,18.517,7.732,60,13.05,38.75
14.516,-0.022,18.513,7.731,60,13.05,38.5
14.581,-0.02,18.51,7.731,60,13.05,38.27
14.645,-0.024,18.504,7.73,60,13.05,38.07
14.71,-0.047,18.499,7.729,60,13.05,37.68
14.774,0.203,18.491,7.727,60,13.05,37.13
14.839,-0.009,18.485,7.726,60,13.06,36.69
14.903,0.021,18.479,7.722,60,13.06,36.42
14.968,0.085,18.474,7.72,60,13.04,35.85
15.032,0.198,18.469,7.717,60,13.04,35.82
15.097,0.109,18.464,7.715,60,13.03,35.63
15.161,-0.026,18.459,7.712,60,13.04,35.43
15.226,-0.016,18.454,7.71,72,12.99,35.12
15.29,-0.034,18.448,7.706,72,13.03,34.83
15.355,-0.048,18.442,7.706,72,13.17,34.44
15.419,-0.048,18.434,7.706,72,13.2,34.11
15.484,0.038,18.425,7.706,72,12.99,33.92
15.548,-0.022,18.418,7.709,72,12.9,33.85
15.613,0.227,18.41,7.705,72,12.99,33.76
15.677,0.025,18.402,7.702,72,12.73,33.85
15.742,0.049,18.394,7.699,72,12.78,33.91
15.806,0.123,18.387,7.696,72,12.82,34.09
15.871,0.257,18.382,7.694,72,13.54,34.2
15.935,0.189,18.374,7.69,72,13.74,34
16,0.026,18.368,7.687,72,14.27,33.71
16.065,0.038,18.362,7.685,71,14.85,33.59
16.129,0.032,18.355,7.682,71,13.38,33.46
16.194,0.002,18.35,7.679,71,12.4,33.22
16.258,-0.001,18.344,7.677,71,12.6,33.11
16.323,0.003,18.332,7.674,71,25.88,33.13
16.387,0.05,18.329,7.672,71,47.97,33.13
16.452,-0.046,18.325,7.669,71,69.33,33.04
16.516,-0.02,18.317,7.668,71,80.14,32.96
16.581,-0.013,18.312,7.664,71,81.37,32.69
16.645,0.016,18.305,7.662,71,65.96,32.29
16.71,0.106,18.3,7.66,71,28.07,32.36
16.774,0.211,18.295,7.657,71,32.66,32.61
16.839,0.034,18.288,7.654,71,71.73,32.73
16.903,-0.053,18.282,7.652,71,83.73,32.74
16.968,-0.044,18.277,7.65,71,81.14,33.01
17.032,-0.064,18.273,7.648,71,82.68,33.24
17.097,-0.083,18.266,7.645,71,48.99,33.41
17.161,-0.091,18.26,7.643,71,24.58,33.75
17.226,-0.085,18.255,7.64,71,57.61,34.13
17.29,-0.034,18.25,7.638,71,81.52,34.53
17.355,-0.122,18.245,7.635,71,83.95,34.86
17.419,0.157,18.238,7.633,71,86.01,35.22
17.484,-0.097,18.233,7.632,71,68.88,35.64
17.548,-0.064,18.228,7.629,71,29.64,35.98
17.613,0.013,18.223,7.627,71,19.49,36.31
17.677,0.118,18.218,7.625,71,22.06,36.7
17.742,-0.018,18.213,7.623,71,17.84,37.06
17.806,-0.092,18.208,7.622,71,20.14,37.38
17.871,-0.082,18.203,7.619,71,18.18,37.67
17.935,-0.096,18.199,7.618,71,18.35,37.83
18,-0.105,18.195,7.617,71,17.98,38
18.065,-0.105,18.192,7.614,71,17.96,38.17
18.129,-0.055,18.188,7.613,71,18.14,38.29
18.194,-0.077,18.186,7.612,71,17.8,38.35
18.258,0.005,18.182,7.612,71,17.87,38.35
18.323,0.07,18.18,7.61,71,17.64,38.31
18.387,-0.068,18.177,7.609,71,17.67,38.3
18.452,-0.015,18.176,7.607,71,17.54,38.26
18.516,0.099,18.176,7.607,68,17.57,38.24
18.581,0.112,18.177,7.604,68,17.53,38.24
18.645,-0.057,18.177,7.604,68,17.5,38.22
18.71,-0.064,18.178,7.604,68,17.45,38.2
18.774,-0.059,18.18,7.603,68,17.39,38.16
18.839,-0.077,18.183,7.602,68,17.34,38.06
18.903,-0.083,18.186,7.599,68,17.29,38.04
18.968,-0.083,18.188,7.599,68,17.26,38.01
19.032,-0.081,18.192,7.599,68,17.24,37.97
19.097,-0.079,18.195,7.598,68,17.2,37.98
19.161,-0.073,18.198,7.597,68,17.14,37.97
19.226,0,18.204,7.597,68,17.1,37.91
19.29,-0.075,18.21,7.595,68,17.08,37.89
19.355,0.175,18.213,7.595,68,17.03,37.88
19.419,-0.015,18.215,7.593,68,17.01,37.86
19.484,0.057,18.218,7.592,68,16.98,37.86
19.548,0.178,18.222,7.592,68,16.96,37.86
19.613,0.082,18.224,7.59,68,16.93,37.89
19.677,-0.041,18.227,7.59,68,16.91,37.9
19.742,-0.032,18.229,7.59,55,16.87,37.92
19.806,-0.037,18.23,7.587,55,16.84,37.86
19.871,-0.054,18.232,7.587,55,16.82,37.77
19.935,-0.058,18.233,7.585,55,16.8,37.75
20,-0.059,18.232,7.585,55,16.78,37.7
20.065,-0.058,18.234,7.583,55,16.76,37.71
20.129,-0.054,18.234,7.582,55,16.74,37.69
20.194,-0.054,18.234,7.582,55,16.73,37.67
20.258,-0.019,18.234,7.58,55,16.7,37.64
20.323,-0.005,18.234,7.578,55,16.69,37.6
20.387,-0.006,18.233,7.577,55,16.67,37.58
20.452,0.184,18.232,7.575,55,16.65,37.56
20.516,-0.018,18.23,7.575,55,16.64,37.55
20.581,0.027,18.229,7.572,55,16.62,37.57
20.645,0.139,18.227,7.571,56,16.6,37.56
20.71,0.198,18.224,7.57,56,16.59,37.55
20.774,0,18.223,7.567,56,16.57,37.54
20.839,-0.038,18.22,7.566,56,16.56,37.52
20.903,-0.028,18.218,7.563,56,16.54,37.49
20.968,-0.046,18.217,7.562,56,16.53,37.35
21.032,-0.054,18.213,7.561,56,16.52,37.25
21.097,-0.058,18.21,7.56,56,16.51,37.21
21.161,-0.057,18.208,7.557,56,16.48,37.16
21.226,-0.055,18.204,7.556,56,16.48,37.16
21.29,-0.055,18.2,7.555,56,16.47,37.15
21.355,-0.031,18.198,7.552,56,16.46,37.12
21.419,0.006,18.195,7.551,56,16.45,37.1
21.484,-0.049,18.192,7.55,56,16.42,37.09
21.548,0.22,18.188,7.547,56,16.42,37.08
21.613,-0.02,18.186,7.546,56,16.41,37.08
21.677,0.017,18.181,7.545,56,16.4,37.08
21.742,0.117,18.177,7.542,54,16.38,37.1
21.806,0.215,18.173,7.54,54,16.37,37.1
21.871,0.025,18.168,7.537,54,16.37,37.12
21.935,-0.044,18.163,7.536,54,16.36,37.1
22,-0.032,18.161,7.535,54,16.35,37.11
22.065,-0.043,18.156,7.532,54,16.34,37.02
22.129,-0.056,18.151,7.531,54,16.32,36.93
22.194,-0.061,18.146,7.53,54,16.32,36.92
22.258,-0.062,18.141,7.527,54,16.3,36.88
22.323,-0.063,18.136,7.525,54,16.3,36.9
22.387,-0.063,18.131,7.523,54,16.29,36.89
22.452,-0.041,18.126,7.521,54,16.27,36.87
22.516,0.005,18.122,7.52,54,16.27,36.85
22.581,-0.064,18.116,7.517,54,16.26,36.84
22.645,0.22,18.112,7.515,54,16.25,36.83
22.71,-0.025,18.103,7.512,54,16.24,36.83
22.774,0.012,18.1,7.51,54,16.23,36.83
22.839,0.118,18.096,7.509,54,16.23,36.85
22.903,0.097,18.091,7.506,54,16.21,36.85
22.968,0.04,18.086,7.504,54,16.21,36.85
23.032,-0.042,18.081,7.503,54,16.2,36.83
23.097,-0.032,18.076,7.5,54,16.19,36.82
23.161,-0.043,18.071,7.499,54,16.19,36.73
23.226,-0.058,18.066,7.498,54,16.16,36.64
23.29,-0.062,18.061,7.495,54,16.16,36.63
23.355,-0.063,18.056,7.493,54,16.16,36.58
23.419,-0.062,18.051,7.49,54,16.15,36.59
23.484,-0.06,18.046,7.488,54,16.14,36.6
23.548,0.005,18.041,7.486,54,16.14,36.59
23.613,-0.048,18.036,7.484,54,16.13,36.57
23.677,0.182,18.031,7.483,54,16.12,36.57
23.742,-0.012,18.025,7.48,54,16.12,36.56
23.806,-0.013,18.021,7.478,54,16.12,36.57
23.871,0.049,18.016,7.475,54,16.1,36.58
23.935,0.181,18.011,7.474,54,16.09,36.58
24,0.164,18.007,7.471,54,16.09,36.59
24.065,-0.028,18.002,7.469,54,16.09,36.59
24.129,-0.032,17.997,7.466,56,16.08,36.59
24.194,-0.028,17.992,7.465,56,16.07,36.56
24.258,-0.044,17.987,7.463,56,16.07,36.48
24.323,-0.052,17.982,7.46,56,16.07,36.45
24.387,-0.053,17.977,7.459,56,16.05,36.42
24.452,-0.053,17.974,7.458,56,16.04,36.4
24.516,-0.053,17.968,7.455,56,16.04,36.42
24.581,0.011,17.962,7.45,56,16.04,36.42
24.645,-0.038,17.956,7.45,56,16.03,36.38
24.71,0.031,17.954,7.448,56,16.02,36.36
24.774,-0.015,17.949,7.446,56,16.02,36.35
24.839,-0.006,17.944,7.444,56,16.02,36.36
24.903,0.055,17.939,7.441,56,16.01,36.36
24.968,0.188,17.937,7.44,56,16.01,36.38
25.032,0.176,17.932,7.436,56,15.99,36.4
25.097,-0.019,17.927,7.435,56,15.99,36.45
25.161,-0.026,17.924,7.433,59,15.98,36.45
25.226,-0.022,17.92,7.431,59,15.98,36.45
25.29,-0.04,17.916,7.429,59,15.97,36.41
25.355,-0.047,17.912,7.426,59,15.97,36.44
25.419,-0.051,17.91,7.425,59,15.97,36.47
25.484,-0.048,17.905,7.423,59,15.97,36.5
25.548,0.024,17.902,7.421,59,15.96,36.55
25.613,-0.057,17.899,7.418,59,15.94,36.58
25.677,0.232,17.896,7.416,59,15.94,36.59
25.742,-0.031,17.892,7.414,59,15.94,36.59
25.806,0.007,17.889,7.412,59,15.94,36.6
25.871,0.083,17.886,7.409,59,15.93,36.6
25.935,0.218,17.882,7.407,59,15.92,36.61
26,0.112,17.88,7.406,59,15.92,36.61
26.065,-0.03,17.877,7.403,59,15.92,36.61
26.129,-0.025,17.874,7.402,62,15.92,36.6
26.194,-0.03,17.87,7.399,62,15.91,36.55
26.258,-0.045,17.867,7.397,62,15.9,36.45
26.323,-0.049,17.864,7.396,62,15.9,36.42
26.387,-0.051,17.86,7.393,62,15.9,36.36
26.452,-0.034,17.857,7.391,62,15.9,36.35
26.516,0.007,17.855,7.389,62,15.9,36.37
26.581,-0.065,17.851,7.387,62,15.88,36.36
26.645,0.218,17.847,7.384,62,15.87,36.35
26.71,-0.03,17.844,7.383,62,15.87,36.32
26.774,0.011,17.84,7.381,62,15.87,36.33
26.839,0.115,17.836,7.379,63,15.87,36.32
26.903,0.237,17.833,7.377,63,15.86,36.31
26.968,0.068,17.829,7.374,63,15.86,36.29
27.032,-0.012,17.825,7.373,63,15.85,36.26
27.097,0.005,17.822,7.372,63,15.85,36.3
27.161,-0.002,17.818,7.369,63,15.85,36.26
27.226,-0.009,17.813,7.367,63,15.85,36.24
27.29,-0.006,17.81,7.366,63,15.85,36.11
27.355,-0.005,17.805,7.363,63,15.83,35.91
27.419,0,17.803,7.361,63,15.82,35.78
27.484,0.073,17.798,7.359,63,15.82,35.54
27.548,0.022,17.794,7.357,63,15.82,35.24
27.613,0.23,17.79,7.354,63,15.82,34.99
27.677,0.051,17.788,7.353,63,15.82,34.78
27.742,0.046,17.783,7.351,82,15.81,34.56
27.806,0.109,17.78,7.348,82,15.81,34.36
27.871,0.249,17.775,7.346,82,15.8,34.27
27.935,0.243,17.772,7.344,82,15.8,34.15
28,0.041,17.768,7.343,82,15.8,33.99
28.065,0.033,17.764,7.341,82,15.8,33.89
28.129,0.032,17.76,7.338,82,15.8,33.86
28.194,0.017,17.755,7.337,82,15.79,33.64
28.258,0.01,17.753,7.336,82,15.79,33.53
28.323,0.006,17.749,7.333,82,15.79,33.5
28.387,0.006,17.745,7.331,82,15.77,33.44
28.452,0.025,17.741,7.33,82,15.77,33.45
28.516,0.072,17.737,7.329,82,15.77,33.47
28.581,-0.008,17.733,7.326,82,15.77,33.46
28.645,0.257,17.73,7.325,82,15.76,33.43
28.71,0.027,17.726,7.324,82,15.76,33.43
28.774,0.065,17.722,7.321,81,15.76,33.44
28.839,0.167,17.718,7.319,81,15.75,33.44
28.903,0.288,17.713,7.316,81,15.75,33.42
28.968,0.108,17.711,7.314,81,15.75,33.42
29.032,0.015,17.706,7.314,81,15.75,33.43
29.097,0.023,17.703,7.311,81,15.75,33.45
29.161,0.007,17.698,7.309,81,15.74,33.4
29.226,-0.006,17.696,7.307,81,15.74,33.34
29.29,-0.009,17.691,7.305,81,15.74,33.32
29.355,-0.011,17.688,7.302,81,15.73,33.31
29.419,-0.01,17.685,7.299,81,15.73,33.33
29.484,0.063,17.682,7.297,81,15.73,33.34
29.548,-0.012,17.68,7.296,81,15.73,33.34
29.613,0.232,17.677,7.294,81,15.71,33.34
29.677,0,17.677,7.294,81,15.71,33.32
29.742,0.016,17.677,7.291,81,15.71,33.3
29.806,0.078,17.68,7.289,81,15.71,33.31
29.871,0.212,17.683,7.29,83,15.7,33.28
29.935,0.164,17.688,7.289,83,15.7,33.29
30,-0.029,17.697,7.289,83,15.7,33.35
30.065,-0.036,17.706,7.289,83,15.7,33.44
30.129,-0.045,17.718,7.286,83,15.7,33.56
30.194,-0.068,17.744,7.287,83,15.7,33.68
30.258,-0.079,17.76,7.285,83,15.7,33.9
30.323,-0.072,17.77,7.286,83,15.7,34.1
30.387,-0.085,17.793,7.284,83,15.69,34.36
30.452,-0.103,17.818,7.284,83,15.69,34.68
30.516,0.17,17.842,7.284,83,15.69,34.89
30.581,-0.083,17.87,7.284,83,15.68,35.01
30.645,-0.048,17.898,7.285,83,15.69,35.26
30.71,0.028,17.926,7.286,96,15.68,35.63
30.774,0.159,17.955,7.287,96,15.68,35.63
30.839,0.071,17.987,7.29,96,15.66,35.73
30.903,-0.065,18.017,7.295,96,15.66,35.83
30.968,-0.06,18.047,7.296,96,15.66,35.93
31.032,-0.074,18.077,7.299,96,15.66,35.91
31.097,-0.091,18.108,7.301,96,15.66,35.82
31.161,-0.09,18.138,7.304,96,15.66,35.73
31.226,-0.033,18.167,7.304,96,15.65,35.66
31.29,-0.122,18.196,7.306,96,15.65,35.68
31.355,0.162,18.224,7.309,96,15.65,35.67
31.419,-0.095,18.251,7.311,96,15.65,35.58
31.484,-0.06,18.278,7.312,96,15.65,35.55
31.548,0.026,18.302,7.314,72,15.64,35.55
31.613,0.149,18.327,7.316,72,15.64,35.51
31.677,0,18.351,7.319,72,15.64,35.51
31.742,-0.096,18.373,7.321,72,15.64,35.52
31.806,-0.086,18.393,7.321,72,15.64,35.54
31.871,-0.098,18.413,7.324,72,15.64,35.47
31.935,-0.113,18.433,7.326,72,15.64,35.38
32,-0.096,18.45,7.326,72,15.63,35.38
32.065,-0.042,18.466,7.327,72,15.63,35.37
32.129,-0.13,18.484,7.329,72,15.63,35.37
32.194,0.157,18.497,7.331,72,15.63,35.38
32.258,-0.092,18.511,7.331,72,15.62,35.39
32.323,-0.054,18.524,7.333,72,15.62,35.4
32.387,0.04,18.535,7.332,72,15.62,35.38
32.452,0.155,18.547,7.333,72,15.62,35.4
32.516,-0.001,18.557,7.333,72,15.62,35.41
32.581,-0.082,18.564,7.336,72,15.62,35.41
32.645,-0.072,18.574,7.336,72,15.62,35.43
32.71,-0.087,18.581,7.336,72,15.6,35.36
32.774,-0.101,18.588,7.336,72,15.6,35.27
32.839,-0.104,18.593,7.338,72,15.6,35.2
32.903,-0.102,18.598,7.338,72,15.6,35.12
32.968,-0.078,18.603,7.338,72,15.59,35.11
33.032,-0.04,18.607,7.338,72,15.59,35.1
33.097,-0.106,18.61,7.338,72,15.59,35.07
33.161,0.161,18.612,7.338,72,15.59,35.04
33.226,-0.072,18.612,7.338,72,15.59,35
33.29,-0.028,18.612,7.338,72,15.59,34.99
33.355,0.071,18.612,7.338,62,15.59,34.97
33.419,0.175,18.612,7.338,62,15.59,34.95
33.484,-0.001,18.611,7.337,62,15.59,34.97
33.548,-0.069,18.608,7.336,62,15.58,34.94
33.613,-0.061,18.606,7.336,62,15.58,34.94
33.677,-0.076,18.602,7.336,62,15.58,34.78
33.742,-0.088,18.598,7.336,62,15.57,34.66
