Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),HR(bpm),marker(mV),RESP(mV)
4.516,-0.032,0.865,12.505,95,9.32,55
4.581,-0.148,0.888,12.586,95,9.32,54.97
4.645,-0.133,0.94,12.67,95,9.3,54.92
4.71,-0.107,0.969,12.764,95,9.3,54.8
4.774,-0.061,0.932,12.858,95,9.29,54.72
4.839,-0.163,0.917,12.955,95,9.29,54.65
4.903,0.161,1.054,13.049,95,9.29,54.59
4.968,-0.086,1.036,13.144,95,9.29,54.52
5.032,0.004,0.961,13.235,95,9.29,54.41
5.097,0.284,0.995,13.323,90,9.29,54.27
5.161,0.1,0.971,13.404,90,9.29,54.11
5.226,-0.119,0.997,13.48,90,9.29,53.91
5.29,-0.117,1.007,13.547,90,9.28,53.72
5.355,-0.098,0.943,13.608,90,9.28,53.47
5.419,-0.095,0.893,13.66,90,9.28,53.28
5.484,-0.044,0.893,13.706,90,9.27,53.12
5.548,-0.139,0.901,13.746,90,9.25,52.92
5.613,0.192,0.961,13.777,90,9.18,52.7
5.677,-0.075,0.945,13.802,90,9.19,52.43
5.742,0.01,0.912,13.822,90,9.25,52.23
5.806,0.267,0.917,13.836,90,9.24,52
5.871,0.18,0.924,13.846,90,9.23,51.73
5.935,-0.096,1.002,13.853,83,9.27,51.51
6,-0.1,0.966,13.857,83,9.35,51.32
6.065,-0.084,0.982,13.854,83,9.4,51.07
6.129,-0.09,0.938,13.849,83,9.24,50.85
6.194,-0.095,0.906,13.841,83,9.29,50.64
6.258,-0.056,0.958,13.829,83,9.23,50.47
6.323,-0.053,0.893,13.815,83,9.28,50.32
6.387,-0.102,0.88,13.799,83,9.23,50.15
6.452,0.219,0.839,13.779,83,9.22,50
6.516,-0.03,0.808,13.756,83,9.43,49.86
6.581,0.093,0.873,13.731,83,9.56,49.73
6.645,0.364,0.899,13.703,83,9.49,49.61
6.71,0.051,0.888,13.674,83,9.43,49.45
6.774,-0.073,0.888,13.642,73,9.63,49.29
6.839,-0.061,0.917,13.609,73,9.76,49.13
6.903,-0.054,0.904,13.577,73,9.4,48.94
6.968,-0.061,0.982,13.542,73,9.35,48.78
7.032,-0.064,1.013,13.509,73,9.5,48.64
7.097,-0.039,1,13.475,73,9.83,48.5
7.161,-0.003,0.979,13.442,73,10,48.38
7.226,-0.091,0.945,13.411,73,9.96,48.29
7.29,0.264,1.005,13.381,73,9.79,48.22
7.355,-0.005,0.919,13.353,73,9.67,48.11
7.419,0.091,0.893,13.326,73,9.65,48
7.484,0.367,0.834,13.301,73,9.76,47.9
7.548,0.144,0.837,13.28,73,10.08,47.82
7.613,-0.049,0.904,13.26,70,10.3,47.74
7.677,-0.043,0.987,13.241,70,10.44,47.66
7.742,-0.039,1.028,13.226,70,10.48,47.52
7.806,-0.047,1.018,13.211,70,10.49,47.41
7.871,-0.05,0.982,13.2,70,10.39,47.3
7.935,0.004,1.026,13.19,70,10.4,47.19
8,-0.039,1.062,13.18,70,10.41,47.12
8.065,0.095,1.041,13.17,70,10.41,47.05
8.129,0.082,1.067,13.162,70,10.43,47.01
8.194,0.006,1.046,13.154,70,10.4,46.94
8.258,0.152,1.007,13.145,70,10.4,46.87
8.323,0.373,1.02,13.137,70,10.72,46.81
8.387,-0.001,0.956,13.128,70,10.68,46.79
8.452,-0.072,0.927,13.118,73,10.57,46.78
8.516,-0.064,0.87,13.108,73,10.52,46.77
8.581,-0.066,0.909,13.097,73,10.48,46.7
8.645,-0.075,0.938,13.084,73,10.45,46.63
8.71,-0.059,0.969,13.072,73,10.49,46.61
8.774,-0.013,0.974,13.057,73,10.49,46.61
8.839,-0.109,0.963,13.042,73,10.54,46.63
8.903,0.204,1.007,13.027,73,10.68,46.66
8.968,-0.038,1.052,13.012,73,10.68,46.69
9.032,0.04,1.044,12.995,73,10.67,46.68
9.097,0.3,1.054,12.977,73,10.65,46.66
9.161,0.152,1,12.959,73,10.62,46.65
9.226,-0.083,1.044,12.942,75,10.6,46.66
9.29,-0.083,1.052,12.925,75,10.61,46.69
9.355,-0.074,0.997,12.908,75,10.59,46.65
9.419,-0.083,0.94,12.893,75,10.6,46.63
9.484,-0.085,0.922,12.878,75,10.67,46.61
9.548,-0.022,0.938,12.866,75,10.77,46.61
9.613,-0.113,1.038,12.854,75,10.73,46.62
9.677,0.177,1.013,12.844,75,10.82,46.68
9.742,-0.083,1.062,12.836,75,11.13,46.74
9.806,-0.006,1.002,12.828,75,11.71,46.82
9.871,0.216,1.02,12.821,75,13.67,46.93
9.935,0.206,1.119,12.816,75,18.14,47.1
10,-0.103,1.127,12.81,75,24.86,47.27
10.065,-0.124,1.106,12.804,75,32.89,47.38
10.129,-0.117,1.09,12.799,75,41.49,47.46
10.194,-0.113,1.088,12.795,75,57.08,47.59
10.258,-0.074,1.054,12.791,75,64.82,47.78
10.323,-0.169,1.077,12.786,75,59.41,47.96
10.387,0.118,1.052,12.784,75,47.58,48.1
10.452,-0.097,1.052,12.779,75,38.04,48.3
10.516,0.209,1.062,12.772,75,38.46,48.54
10.581,0.293,1.038,12.766,75,39.68,48.75
10.645,0.073,1.145,12.761,75,45.54,48.89
10.71,-0.147,1.116,12.755,85,52.35,49.09
10.774,-0.147,1.064,12.749,85,55.37,49.32
10.839,-0.135,1.064,12.734,85,57.27,49.61
10.903,-0.078,1.145,12.734,85,54.51,49.62
10.968,-0.178,1.189,12.727,85,49.51,49.79
11.032,0.122,1.209,12.72,85,42.11,49.98
11.097,-0.166,1.189,12.713,85,31.64,50.15
11.161,-0.053,1.176,12.705,85,28.13,50.21
11.226,0.17,1.178,12.695,91,29.36,50.36
11.29,0.159,1.106,12.688,91,35.6,50.6
11.355,-0.149,1.08,12.682,91,51.31,50.86
11.419,-0.159,1.033,12.678,91,60.01,51.06
11.484,-0.135,1.023,12.677,91,60.43,51.15
11.548,-0.086,0.995,12.679,91,56.11,51.22
11.613,-0.192,1.07,12.684,91,49.87,51.31
11.677,0.105,1.145,12.693,91,35.97,51.4
11.742,-0.127,1.111,12.707,91,24.45,51.54
11.806,-0.031,1.031,12.72,91,18.67,51.63
11.871,0.241,1.01,12.74,94,16.07,51.8
11.935,0.073,1.103,12.761,94,15.52,51.99
12,-0.159,1.064,12.787,94,14.91,52.15
12.065,-0.164,1.072,12.819,94,14.68,52.36
12.129,-0.117,0.982,12.855,94,14.05,52.53
12.194,-0.121,1.023,12.893,94,13.58,52.65
12.258,-0.194,0.945,12.94,94,13.54,52.86
12.323,0.12,0.958,12.99,94,13.43,53.07
12.387,-0.111,0.94,13.047,94,13.26,53.23
12.452,0.024,0.912,13.109,94,13.11,53.41
12.516,0.303,0.86,13.177,95,12.95,53.66
12.581,-0.064,0.906,13.248,95,13.16,53.86
12.645,-0.174,0.995,13.325,95,13.59,54.05
12.71,-0.163,1.01,13.402,95,13.61,54.24
12.774,-0.119,0.982,13.48,95,13.42,54.45
12.839,-0.119,1.02,13.557,95,13.28,54.68
12.903,-0.187,1.046,13.631,95,13.34,54.93
12.968,0.138,1.103,13.706,95,13.54,55.16
13.032,-0.105,1.098,13.777,95,13.56,55.35
13.097,0.033,1.093,13.843,95,13.54,55.57
13.161,0.318,1.085,13.907,93,13.5,55.83
13.226,-0.057,1.088,13.966,93,13.34,56.07
13.29,-0.172,1.033,14.018,93,13.22,56.25
13.355,-0.16,1.036,14.066,93,13.09,56.37
13.419,-0.144,0.995,14.109,93,13.3,56.47
13.484,-0.089,0.93,14.147,93,13.12,56.53
13.548,-0.167,0.969,14.182,93,13.11,56.48
13.613,0.174,1.018,14.211,93,13.09,56.41
13.677,-0.176,1.015,14.233,93,13.06,56.27
13.742,-0.07,1.054,14.25,93,13.06,56.15
13.806,0.137,1.052,14.264,87,13.09,56.05
13.871,0.268,1.033,14.271,87,13.09,55.93
13.935,-0.124,1.044,14.277,87,13.06,55.76
14,-0.154,1.101,14.279,87,13.01,55.59
14.065,-0.137,1.098,14.282,87,12.93,55.39
14.129,-0.132,1.116,14.282,87,12.83,55.15
14.194,-0.128,1.026,14.282,87,12.82,54.89
14.258,-0.065,1.041,14.282,87,12.84,54.7
14.323,-0.156,1.031,14.283,87,12.84,54.49
14.387,0.182,1.031,14.285,87,12.99,54.23
14.452,-0.084,1.015,14.29,87,12.98,53.99
14.516,0.005,0.935,14.295,87,13,53.76
14.581,0.276,0.953,14.301,87,13.09,53.52
14.645,0.192,1.036,14.308,87,13,53.3
14.71,-0.087,1.005,14.317,79,13.08,53.03
14.774,-0.086,1.085,14.328,79,13.04,52.7
14.839,-0.064,0.987,14.338,79,12.9,52.36
14.903,-0.067,1.033,14.346,79,12.84,52.05
14.968,-0.07,1.119,14.355,79,12.92,51.8
15.032,-0.049,1.129,14.363,79,12.94,51.54
15.097,-0.01,1.127,14.37,79,12.99,51.29
15.161,-0.086,1.041,14.375,79,13.04,51.01
15.226,0.275,1.062,14.377,79,13.04,50.77
15.29,0.006,1.028,14.382,79,13.01,50.6
15.355,0.106,0.979,14.384,79,12.94,50.45
15.419,0.388,1.023,14.385,79,12.87,50.3
15.484,0.159,0.948,14.386,79,12.83,50.14
15.548,-0.034,0.945,14.389,72,12.86,49.97
15.613,-0.031,0.989,14.39,72,12.83,49.75
15.677,-0.022,0.997,14.394,72,12.82,49.52
15.742,-0.034,1.02,14.403,72,12.78,49.31
15.806,-0.041,1.062,14.414,72,12.71,49.15
15.871,-0.025,1.036,14.434,72,12.67,49
15.935,0.02,1.077,14.458,72,12.69,48.88
16,-0.07,1.088,14.489,72,12.65,48.77
16.065,0.268,1.116,14.528,72,12.59,48.67
16.129,0.009,1.08,14.571,72,12.56,48.57
16.194,0.097,1.041,14.619,72,12.55,48.5
16.258,0.371,1.026,14.67,72,12.53,48.43
16.323,0.212,1.031,14.724,72,12.51,48.32
16.387,-0.025,1.041,14.778,72,12.49,48.21
16.452,-0.022,0.956,14.831,71,12.48,48.07
16.516,-0.014,0.883,14.88,71,12.47,47.9
16.581,-0.024,0.899,14.927,71,12.44,47.76
16.645,-0.032,0.935,14.97,71,12.43,47.62
16.71,0,0.961,15.006,71,12.4,47.5
16.774,0.001,1,15.038,71,12.39,47.41
16.839,-0.065,0.943,15.063,71,12.38,47.36
16.903,0.259,0.987,15.083,71,12.36,47.31
16.968,0.008,0.971,15.094,71,12.33,47.25
17.032,0.119,1.036,15.103,71,12.34,47.19
17.097,0.396,1.057,15.104,71,12.34,47.11
17.161,0.106,1.041,15.102,71,12.34,47.04
17.226,-0.046,0.989,15.097,72,12.33,47.02
17.29,-0.042,0.961,15.086,72,12.32,47
17.355,-0.04,0.971,15.071,72,12.29,46.96
17.419,-0.052,0.912,15.052,72,12.27,46.92
17.484,-0.055,0.891,15.031,72,12.27,46.89
17.548,0.008,0.901,15.007,72,12.26,46.89
17.613,-0.081,0.953,14.98,72,12.25,46.91
17.677,0.222,0.958,14.952,72,12.25,46.93
17.742,-0.056,0.945,14.923,72,12.23,46.92
17.806,0.028,0.924,14.89,72,12.22,46.91
17.871,0.247,0.969,14.857,72,12.22,46.91
17.935,0.277,0.982,14.821,72,12.22,46.92
18,-0.054,1,14.784,72,12.2,46.94
18.065,-0.071,1.005,14.744,75,12.2,46.95
18.129,-0.063,1.036,14.703,75,12.17,46.92
18.194,-0.073,1.015,14.661,75,12.16,46.86
18.258,-0.082,0.961,14.616,75,12.16,46.82
18.323,-0.031,0.971,14.571,75,12.16,46.82
18.387,-0.077,0.974,14.525,75,12.15,46.85
18.452,0.149,0.904,14.475,75,12.15,46.87
18.516,-0.041,0.883,14.424,75,12.14,46.88
18.581,-0.014,0.924,14.373,75,12.11,46.86
18.645,0.144,0.935,14.321,75,12.09,46.83
18.71,0.345,0.956,14.268,75,12.1,46.86
18.774,-0.026,0.976,14.213,75,12.12,46.88
18.839,-0.078,0.912,14.157,75,12.12,46.91
18.903,-0.068,0.995,14.1,75,12.11,46.89
18.968,-0.069,1.054,14.044,75,12.12,46.85
19.032,-0.08,1.026,13.987,75,12.11,46.81
19.097,-0.049,1.054,13.932,75,12.1,46.81
19.161,-0.045,0.995,13.877,75,12.09,46.81
19.226,-0.092,0.997,13.823,75,12.09,46.81
19.29,0.189,0.982,13.768,75,12.07,46.86
19.355,-0.029,0.948,13.717,75,11.93,46.87
19.419,0.088,0.963,13.665,75,11.9,46.85
19.484,0.356,0.891,13.617,75,11.93,46.86
19.548,0.055,0.844,13.572,75,11.93,46.88
19.613,-0.078,0.914,13.528,75,11.94,46.88
19.677,-0.07,0.982,13.489,75,11.99,46.87
19.742,-0.069,1.002,13.452,75,12.17,46.82
19.806,-0.079,0.987,13.417,75,12.28,46.79
19.871,-0.057,0.958,13.386,75,12.29,46.79
19.935,-0.05,1.028,13.358,75,12.22,46.83
20,-0.109,0.997,13.333,75,12.2,46.82
20.065,0.182,1.077,13.308,75,12.09,46.83
20.129,-0.04,1.085,13.286,75,11.94,46.82
20.194,0.073,0.979,13.267,75,11.9,46.81
20.258,0.34,0.979,13.247,75,11.81,46.83
20.323,0.043,0.976,13.229,75,11.84,46.87
20.387,-0.096,0.963,13.21,77,11.81,46.88
20.452,-0.092,0.976,13.191,77,11.88,46.84
20.516,-0.089,0.932,13.174,77,11.85,46.83
20.581,-0.102,1.015,13.155,77,11.76,46.82
20.645,-0.058,0.982,13.137,77,11.75,46.82
20.71,-0.108,1.005,13.119,77,11.76,46.81
20.774,0.075,1.038,13.101,77,11.75,46.8
20.839,-0.056,0.938,13.081,77,11.67,46.81
20.903,-0.052,1.018,13.061,77,11.64,46.83
20.968,0.102,1.023,13.042,79,11.62,46.81
21.032,0.303,0.995,13.024,79,11.6,46.81
21.097,-0.06,1.08,13.002,79,11.6,46.83
21.161,-0.116,1.01,12.981,79,11.56,46.86
21.226,-0.113,0.979,12.962,79,11.56,46.85
21.29,-0.115,0.979,12.94,79,11.55,46.8
21.355,-0.122,0.987,12.92,79,11.55,46.77
21.419,-0.067,0.948,12.9,79,11.53,46.78
21.484,-0.158,0.901,12.861,79,11.53,46.77
21.548,0.124,0.821,12.857,79,11.51,46.78
21.613,-0.109,0.912,12.838,79,11.5,46.81
21.677,-0.028,0.982,12.82,79,11.5,46.81
21.742,0.206,0.963,12.8,80,11.49,46.8
21.806,0.182,0.906,12.78,80,11.48,46.82
21.871,-0.111,0.943,12.76,80,11.48,46.83
21.935,-0.119,0.995,12.74,80,11.46,46.8
22,-0.109,0.953,12.723,80,11.45,46.75
22.065,-0.12,1.026,12.704,80,11.45,46.79
22.129,-0.075,0.997,12.686,80,11.45,46.86
22.194,-0.131,0.966,12.668,80,11.44,46.93
22.258,0.095,0.953,12.652,80,11.43,46.97
22.323,-0.124,0.932,12.634,80,11.43,47.05
22.387,-0.068,0.922,12.622,80,11.43,47.16
22.452,0.097,0.935,12.611,82,11.43,47.33
22.516,0.281,0.875,12.605,82,11.42,47.51
22.581,-0.088,0.87,12.602,82,11.4,47.71
22.645,-0.14,0.938,12.605,82,11.4,47.89
22.71,-0.13,0.951,12.613,82,11.4,48.05
22.774,-0.115,0.979,12.628,82,11.39,48.16
22.839,-0.097,0.932,12.649,82,11.39,48.32
22.903,-0.195,0.945,12.678,82,11.38,48.69
22.968,0.096,0.953,12.711,82,11.38,49.01
23.032,-0.108,0.987,12.748,82,11.38,49.19
23.097,-0.006,1.015,12.791,82,11.37,49.31
23.161,0.262,0.94,12.837,88,11.37,49.41
23.226,0.006,0.974,12.884,88,11.35,49.56
23.29,-0.162,0.893,12.931,88,11.35,49.75
23.355,-0.158,0.909,12.978,88,11.35,49.95
23.419,-0.145,0.901,13.024,88,11.35,50.06
23.484,-0.118,0.899,13.066,88,11.34,50.19
23.548,-0.219,0.878,13.106,88,11.34,50.38
23.613,0.071,0.912,13.144,88,11.34,50.61
23.677,-0.137,0.93,13.175,88,11.33,50.8
23.742,-0.041,0.932,13.201,88,11.33,50.98
23.806,0.226,0.958,13.225,93,11.33,51.17
23.871,0.024,0.945,13.243,93,11.32,51.31
23.935,-0.182,0.984,13.256,93,11.32,51.44
24,-0.179,0.93,13.267,93,11.31,51.55
24.065,-0.144,1.044,13.274,93,11.31,51.58
24.129,-0.126,1.02,13.28,93,11.31,51.59
24.194,-0.228,0.974,13.282,93,11.31,51.66
24.258,0.084,0.948,13.282,93,11.29,51.81
24.323,-0.133,0.935,13.28,93,11.29,51.91
24.387,-0.023,0.989,13.276,93,11.29,51.96
24.452,0.258,0.888,13.268,93,11.28,52.05
24.516,-0.024,0.873,13.259,93,11.28,52.15
24.581,-0.185,0.852,13.249,93,11.28,52.23
24.645,-0.181,0.914,13.24,93,11.28,52.36
24.71,-0.141,0.932,13.229,93,11.28,52.43
24.774,-0.13,0.93,13.214,93,11.28,52.47
24.839,-0.22,0.932,13.198,93,11.27,52.55
24.903,-0.02,0.979,13.18,93,11.27,52.64
24.968,-0.097,0.961,13.164,93,11.27,52.68
25.032,0.005,1.026,13.146,93,11.26,52.65
25.097,0.292,1.075,13.124,95,11.26,52.58
25.161,-0.001,0.984,13.103,95,11.26,52.47
25.226,-0.141,1.005,13.061,95,11.26,52.26
25.29,-0.13,0.953,13.06,95,11.24,52.25
25.355,-0.11,0.943,13.036,95,11.24,52.06
25.419,-0.057,0.935,13.015,95,11.24,51.85
25.484,-0.111,0.896,12.992,95,11.24,51.63
25.548,0.086,0.914,12.969,95,11.23,51.39
25.613,-0.022,0.852,12.945,95,11.23,51.11
25.677,-0.029,0.893,12.924,95,11.23,50.81
25.742,0.144,0.932,12.9,95,11.23,50.52
25.806,0.351,0.865,12.88,95,11.23,50.26
25.871,-0.036,0.953,12.856,95,11.22,50.08
25.935,-0.088,0.906,12.833,85,11.22,49.91
26,-0.076,0.94,12.812,85,11.22,49.69
26.065,-0.073,0.989,12.79,85,11.22,49.42
26.129,-0.08,0.979,12.768,85,11.22,49.21
26.194,-0.015,0.979,12.748,85,11.21,49.1
26.258,-0.105,0.909,12.725,85,11.21,48.99
26.323,0.244,0.873,12.706,85,11.21,48.85
26.387,-0.11,0.932,12.686,85,11.21,48.7
26.452,-0.005,0.883,12.663,85,11.2,48.54
26.516,0.211,0.855,12.643,85,11.2,48.39
26.581,0.311,0.824,12.623,85,11.2,48.26
26.645,-0.054,0.875,12.604,85,11.2,48.15
26.71,-0.076,0.938,12.584,79,11.18,48.04
26.774,-0.065,0.93,12.566,79,11.18,47.88
26.839,-0.066,0.951,12.546,79,11.18,47.69
26.903,-0.074,0.93,12.527,79,11.18,47.51
26.968,-0.043,1.007,12.509,79,11.18,47.4
27.032,-0.032,0.976,12.493,79,11.18,47.33
27.097,-0.111,1.01,12.46,79,11.18,47.24
27.161,0.236,0.982,12.456,79,11.17,47.23
27.226,-0.025,0.969,12.442,79,11.17,47.17
27.29,0.077,0.951,12.426,79,11.17,47.12
27.355,0.369,0.951,12.411,79,11.17,47.09
27.419,0.12,0.966,12.397,79,11.17,47.05
27.484,-0.066,0.886,12.387,74,11.17,47.03
27.548,-0.061,0.837,12.381,74,11.17,47.01
27.613,-0.052,0.883,12.381,74,11.17,46.93
27.677,-0.06,0.878,12.389,74,11.16,46.87
27.742,-0.065,0.909,12.406,74,11.16,46.83
27.806,0,0.943,12.433,74,11.16,46.82
27.871,-0.067,0.912,12.474,74,11.16,46.81
27.935,0.209,0.927,12.526,74,11.16,46.83
28,-0.042,0.979,12.595,74,11.15,46.83
28.065,0.019,1.044,12.675,74,11.15,46.81
28.129,0.194,1.031,12.768,74,11.15,46.81
28.194,0.384,0.935,12.872,74,11.15,46.83
28.258,0.001,0.945,12.982,74,11.15,46.85
28.323,-0.045,0.922,13.097,73,11.15,46.83
28.387,-0.04,0.969,13.211,73,11.15,46.81
28.452,-0.046,0.899,13.329,73,11.13,46.77
28.516,-0.061,0.87,13.443,73,11.13,46.76
28.581,-0.05,0.834,13.544,73,11.13,46.77
28.645,-0.018,0.893,13.635,73,11.13,46.79
28.71,-0.106,0.893,13.713,73,11.13,46.78
28.774,0.194,0.927,13.786,73,11.13,46.78
28.839,-0.038,0.904,13.851,73,11.13,46.78
28.903,0.038,0.888,13.91,73,11.12,46.79
28.968,0.301,0.927,13.96,73,11.12,46.81
29.032,0.184,1.015,14.003,73,11.12,46.81
29.097,-0.081,1.036,14.041,73,11.12,46.8
29.161,-0.084,0.997,14.075,73,11.12,46.8
29.226,-0.074,0.966,14.101,73,11.12,46.8
29.29,-0.081,0.927,14.125,73,11.12,46.75
29.355,-0.09,0.94,14.143,73,11.12,46.74
29.419,-0.043,0.992,14.157,73,11.12,46.77
29.484,-0.074,0.865,14.164,73,11.11,46.8
29.548,-0.024,0.906,14.17,73,11.11,46.81
29.613,0.113,0.878,14.17,73,11.11,46.81
29.677,-0.025,0.924,14.168,73,11.11,46.81
29.742,0.114,0.945,14.163,73,11.11,46.82
29.806,0.374,0.912,14.154,73,11.1,46.82
29.871,0.023,1.028,14.142,73,11.1,46.82
29.935,-0.069,0.963,14.128,73,11.1,46.81
30,-0.059,0.966,14.111,73,11.1,46.8
30.065,-0.053,1.023,14.091,73,11.1,46.8
30.129,-0.063,1.005,14.069,73,11.1,46.75
30.194,-0.055,0.987,14.044,73,11.1,46.75
30.258,-0.016,0.917,14.015,73,11.1,46.75
30.323,-0.103,0.935,13.985,73,11.1,46.75
30.387,0.192,0.979,13.952,73,11.1,46.78
30.452,-0.032,0.883,13.916,73,11.09,46.78
30.516,0.044,0.868,13.879,73,11.09,46.77
30.581,0.299,0.855,13.839,73,11.09,46.77
30.645,0.206,0.94,13.798,73,11.09,46.8
30.71,-0.063,0.938,13.756,75,11.09,46.81
30.774,-0.068,0.914,13.711,75,11.09,46.82
30.839,-0.06,0.891,13.666,75,11.07,46.79
30.903,-0.069,0.899,13.621,75,11.07,46.76
30.968,-0.067,0.935,13.579,75,11.07,46.74
31.032,-0.024,0.979,13.534,75,11.07,46.76
31.097,-0.115,1.013,13.491,75,11.07,46.76
31.161,0.171,1.023,13.449,75,11.07,46.79
31.226,-0.055,0.971,13.405,75,11.07,46.81
31.29,0.016,0.922,13.364,75,11.07,46.79
31.355,0.265,0.938,13.324,75,11.07,46.78
31.419,0.208,0.901,13.286,75,11.07,46.8
31.484,-0.08,0.862,13.248,77,11.07,46.81
31.548,-0.089,0.834,13.211,77,11.07,46.82
31.613,-0.08,0.834,13.174,77,11.07,46.8
31.677,-0.089,0.901,13.139,77,11.07,46.76
31.742,-0.091,0.93,13.107,77,11.06,46.75
31.806,-0.043,0.901,13.073,77,11.06,46.74
31.871,-0.136,0.927,13.041,77,11.06,46.73
31.935,0.144,0.893,13.008,77,11.06,46.76
32,-0.084,0.875,12.979,77,11.06,46.78
32.065,-0.01,1.02,12.946,77,11.05,46.77
32.129,0.232,1.023,12.916,77,11.05,46.77
32.194,0.185,0.997,12.887,77,11.05,46.79
32.258,-0.106,0.974,12.857,77,11.05,46.8
32.323,-0.111,0.896,12.829,77,11.05,46.8
32.387,-0.099,0.956,12.801,77,11.05,46.76
32.452,-0.106,0.951,12.774,77,11.05,46.74
32.516,-0.114,0.875,12.746,77,11.05,46.73
32.581,-0.053,0.868,12.721,77,11.05,46.73
32.645,-0.143,0.919,12.697,77,11.05,46.72
32.71,0.149,0.93,12.672,77,11.05,46.74
32.774,-0.12,0.922,12.647,77,11.05,46.76
32.839,-0.03,0.932,12.622,77,11.05,46.78
32.903,0.185,0.948,12.599,76,11.05,46.79
32.968,0.232,0.912,12.575,76,11.04,46.8
33.032,-0.101,0.927,12.552,76,11.04,46.82
33.097,-0.117,1.007,12.53,76,11.04,46.83
33.161,-0.108,0.948,12.509,76,11.04,46.83
33.226,-0.115,0.948,12.487,76,11.04,46.87
33.29,-0.107,0.932,12.467,76,11.04,46.95
33.355,-0.077,0.943,12.447,76,11.04,47.02
33.419,-0.165,0.971,12.427,76,11.02,47.12
33.484,0.123,0.914,12.41,76,11.02,47.24
33.548,-0.093,0.821,12.391,76,11.02,47.37
33.613,-0.008,0.878,12.372,76,11.02,47.51
33.677,0.252,0.899,12.355,79,11.02,47.65
