Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),RESP(mV)
2.645,0.159,-0.006,2.424,10.595,44,10.524
2.71,0.202,-0.011,2.421,10.598,44,10.526
2.774,0.211,-0.004,2.419,10.601,44,10.544
2.839,0.13,-0.004,2.416,10.605,44,10.57
2.903,0.135,-0.006,2.414,10.608,44,10.614
2.968,0.127,-0.011,2.411,10.613,44,10.67
3.032,0.108,-0.004,2.41,10.616,44,10.726
3.097,0.104,-0.006,2.409,10.62,44,10.764
3.161,0.098,0,2.406,10.621,44,10.816
3.226,-0.048,0.002,2.404,10.623,44,10.892
3.29,-0.15,-0.012,2.401,10.625,44,10.96
3.355,0.161,-0.003,2.401,10.625,44,10.998
3.419,0.171,-0.002,2.4,10.625,44,11.008
3.484,0.101,-0.011,2.399,10.625,44,11.032
3.548,0.106,-0.017,2.397,10.625,44,11.088
3.613,0.12,0.008,2.396,10.626,44,11.164
3.677,0.085,-0.011,2.396,10.625,44,11.242
3.742,0.062,-0.01,2.392,10.627,44,11.328
3.806,0.052,-0.005,2.391,10.63,44,11.394
3.871,0.077,-0.002,2.391,10.626,44,11.442
3.935,-0.324,-0.001,2.391,10.623,44,11.464
4,0.121,-0.01,2.391,10.621,88,11.462
4.065,0.1,-0.002,2.39,10.618,88,11.462
4.129,0.069,-0.001,2.388,10.618,88,11.45
4.194,0.044,0.002,2.385,10.615,88,11.422
4.258,0.015,-0.004,2.384,10.615,88,11.372
4.323,0.025,-0.006,2.382,10.611,88,11.312
4.387,0.1,0.006,2.382,10.608,88,0
4.452,0.057,-0.005,2.38,10.603,88,0
4.516,-0.115,0.007,2.378,10.6,88,11.146
4.581,-0.164,-0.005,2.377,10.598,88,11.12
4.645,0.11,-0.008,2.375,10.594,88,11.102
4.71,0.074,0.002,2.374,10.588,88,11.092
4.774,-0.06,-0.012,2.374,10.585,88,11.102
4.839,-0.04,-0.013,2.372,10.585,88,11.11
4.903,-0.02,-0.007,2.369,10.581,88,11.108
4.968,0,-0.011,2.368,10.575,88,11.096
5.032,-0.006,-0.006,2.367,10.567,88,11.088
5.097,-0.058,-0.007,2.365,10.56,88,11.09
5.161,-0.063,-0.006,2.363,10.556,88,11.104
5.226,-0.417,0.008,2.362,10.551,88,11.108
5.29,-0.059,-0.009,2.36,10.545,88,11.102
5.355,-0.077,-0.005,2.358,10.539,88,11.092
5.419,-0.14,-0.001,2.357,10.536,88,11.088
5.484,-0.124,-0.012,2.355,10.534,88,11.1
5.548,-0.116,-0.006,2.354,10.529,88,11.13
5.613,-0.112,-0.005,2.352,10.525,88,11.134
5.677,-0.115,-0.009,2.349,10.526,88,11.134
5.742,-0.121,0.006,2.349,10.529,88,11.156
5.806,-0.412,-0.002,2.347,10.534,88,11.174
5.871,-0.029,-0.026,2.344,10.542,88,11.202
5.935,0.001,0.022,2.344,10.556,88,11.234
6,-0.054,-0.007,2.344,10.571,88,11.262
6.065,-0.048,-0.019,2.343,10.591,88,11.268
6.129,-0.048,-0.008,2.34,10.612,88,11.264
6.194,-0.05,0.003,2.338,10.637,88,11.264
6.258,-0.038,-0.007,2.337,10.663,88,11.268
6.323,-0.012,-0.017,2.337,10.691,88,11.274
6.387,-0.333,0.003,2.337,10.718,88,11.264
6.452,0.001,-0.009,2.337,10.742,88,11.246
6.516,0.102,0.01,2.337,10.76,88,11.222
6.581,0.077,0.013,2.337,10.782,88,11.192
6.645,-0.006,-0.006,2.337,10.801,88,11.154
6.71,0.002,-0.018,2.338,10.821,33,11.12
6.774,0.019,-0.008,2.339,10.837,33,11.098
6.839,0.033,-0.004,2.34,10.851,33,11.08
6.903,0.06,0.01,2.342,10.862,33,11.062
6.968,0.075,0.007,2.345,10.87,33,11.048
7.032,-0.301,0.006,2.35,10.888,33,11.092
7.097,0.173,0.004,2.353,10.893,33,11.162
7.161,0.168,0.005,2.357,10.897,33,11.222
7.226,0.142,-0.011,2.36,10.901,33,11.224
7.29,0.225,-0.027,2.363,10.903,33,11.246
7.355,0.212,-0.007,2.365,10.902,33,11.318
7.419,0.149,0.006,2.37,10.902,33,11.366
7.484,0.129,0.012,2.373,10.903,33,11.352
7.548,0.18,0.03,2.375,10.898,33,11.336
7.613,-0.176,0.032,2.38,10.886,33,11.34
7.677,0.125,0.043,2.382,10.877,33,11.362
7.742,0.197,-0.006,2.385,10.872,33,11.416
7.806,0.212,-0.04,2.388,10.867,33,11.496
7.871,0.158,-0.03,2.391,10.863,33,11.576
7.935,0.17,-0.009,2.391,10.866,33,11.61
8,0.196,-0.014,2.394,10.864,33,11.6
8.065,0.183,-0.022,2.394,10.861,33,11.528
8.129,0.143,-0.025,2.396,10.861,33,11.432
8.194,0.11,-0.023,2.396,10.859,33,11.342
8.258,-0.299,-0.024,2.396,10.85,33,11.356
8.323,0.159,-0.043,2.395,10.84,33,11.5
8.387,0.213,-0.022,2.394,10.827,33,11.612
8.452,0.188,0.004,2.394,10.806,33,11.496
8.516,0.149,0.003,2.392,10.797,33,11.394
8.581,0.157,0.004,2.391,10.8,33,11.336
8.645,0.14,-0.004,2.388,10.791,33,11.32
8.71,0.122,-0.007,2.387,10.782,33,11.346
8.774,0.107,0.005,2.384,10.775,33,11.386
8.839,0.116,0.006,2.383,10.769,33,11.464
8.903,-0.265,-0.003,2.382,10.763,33,11.554
8.968,0.173,-0.004,2.38,10.758,53,11.472
9.032,0.17,0.001,2.379,10.753,53,11.296
9.097,0.113,0.004,2.379,10.749,53,11.146
9.161,0.125,-0.003,2.377,10.747,53,11.074
9.226,0.126,-0.001,2.377,10.745,53,10.992
9.29,0.1,-0.005,2.374,10.742,53,10.936
9.355,0.1,-0.005,2.374,10.742,53,10.966
9.419,0.111,-0.002,2.372,10.737,53,11.048
9.484,0.13,-0.001,2.37,10.734,53,11.034
9.548,-0.343,-0.006,2.369,10.734,53,10.998
9.613,0.159,-0.008,2.367,10.733,53,10.924
9.677,0.169,-0.008,2.367,10.729,53,10.816
9.742,0.121,-0.004,2.367,10.727,53,10.742
9.806,0.112,-0.017,2.365,10.725,53,10.692
9.871,0.119,-0.009,2.363,10.723,53,10.642
9.935,0.107,-0.003,2.362,10.715,53,10.62
10,0.09,-0.004,2.359,10.713,53,10.626
10.065,0.088,0.001,2.359,10.709,53,10.628
10.129,0.101,0.001,2.357,10.705,53,10.646
10.194,0.128,0.001,2.357,10.702,53,10.66
10.258,-0.309,0.001,2.357,10.698,53,10.668
10.323,0.181,0,2.357,10.695,76,10.65
10.387,0.168,-0.002,2.358,10.692,76,10.622
10.452,0.113,-0.001,2.36,10.688,76,10.582
10.516,0.103,-0.016,2.363,10.683,76,10.558
10.581,0.117,-0.015,2.363,10.678,76,10.534
10.645,0.098,-0.017,2.367,10.676,76,10.51
10.71,0.089,-0.021,2.369,10.67,76,10.49
10.774,0.065,-0.019,2.369,10.663,76,10.47
10.839,0.032,-0.009,2.372,10.658,76,10.456
10.903,0.068,0,2.373,10.655,76,10.432
10.968,-0.431,0.001,2.375,10.648,76,10.41
11.032,0.102,0.004,2.377,10.643,76,10.394
11.097,0.116,0.005,2.374,10.638,76,10.388
11.161,0.084,0.005,2.374,10.635,76,10.392
11.226,0.043,-0.013,2.372,10.631,76,10.436
11.29,0.065,-0.014,2.372,10.628,80,10.436
11.355,0.064,-0.01,2.372,10.618,80,10.436
11.419,0.042,-0.012,2.372,10.616,80,10.436
11.484,0.025,-0.009,2.373,10.611,80,10.438
11.548,0.038,-0.004,2.374,10.606,80,10.444
11.613,-0.459,-0.001,2.374,10.601,80,10.446
11.677,0.11,-0.002,2.372,10.596,80,10.454
11.742,0.137,-0.001,2.369,10.594,80,10.46
11.806,0.14,0.001,2.368,10.59,80,10.468
11.871,0.063,-0.011,2.365,10.586,80,10.47
11.935,0.076,-0.01,2.364,10.583,80,10.458
12,0.073,-0.009,2.363,10.58,80,10.428
12.065,0.069,-0.003,2.362,10.576,80,10.41
12.129,0.071,-0.012,2.362,10.574,80,10.414
12.194,0.075,-0.01,2.365,10.57,80,10.446
12.258,0.063,-0.009,2.37,10.57,80,10.502
12.323,0.108,0.001,2.372,10.569,80,10.558
12.387,-0.408,-0.004,2.37,10.569,80,10.602
12.452,0.143,-0.003,2.369,10.573,56,10.614
12.516,0.156,-0.001,2.37,10.576,56,10.604
12.581,0.109,-0.002,2.372,10.58,56,10.566
12.645,0.084,-0.009,2.373,10.587,56,10.524
12.71,0.087,-0.006,2.374,10.595,56,10.478
12.774,0.094,-0.001,2.377,10.604,56,10.446
12.839,0.093,-0.003,2.377,10.614,56,10.438
12.903,0.111,0.002,2.378,10.624,56,10.456
12.968,0.115,-0.005,2.379,10.634,56,10.49
13.032,0.091,-0.008,2.382,10.647,56,10.502
13.097,0.107,-0.006,2.384,10.658,56,10.476
13.161,-0.339,-0.01,2.387,10.668,56,10.414
13.226,0.101,-0.004,2.389,10.678,77,10.346
13.29,0.106,0.004,2.391,10.687,77,10.294
13.355,0.035,-0.002,2.395,10.704,77,10.282
13.419,0.013,-0.011,2.397,10.713,77,10.29
13.484,0.005,-0.014,2.4,10.719,77,10.302
13.548,0,-0.007,2.401,10.725,77,10.302
13.613,0.003,0.003,2.402,10.73,77,10.294
13.677,-0.002,0.001,2.405,10.733,77,10.284
13.742,-0.005,-0.006,2.406,10.734,77,10.28
13.806,-0.446,-0.004,2.407,10.738,77,10.302
13.871,0.046,-0.001,2.41,10.739,77,10.33
13.935,0.066,0,2.411,10.74,77,10.36
14,0.065,0.003,2.414,10.739,77,10.388
14.065,-0.008,-0.007,2.414,10.739,106,10.414
14.129,0.002,-0.012,2.414,10.739,106,10.426
14.194,0.003,-0.003,2.414,10.739,106,10.458
14.258,-0.004,-0.006,2.416,10.737,106,10.49
14.323,-0.008,-0.004,2.416,10.733,106,10.526
14.387,-0.011,-0.004,2.417,10.73,106,10.548
14.452,-0.013,-0.004,2.419,10.728,106,10.578
14.516,-0.41,-0.002,2.419,10.723,106,10.692
14.581,0.037,-0.009,2.419,10.719,106,10.812
14.645,0.069,-0.002,2.419,10.715,106,10.888
14.71,0.061,-0.003,2.419,10.71,106,10.93
14.774,-0.017,-0.012,2.419,10.707,83,10.948
14.839,0,-0.009,2.419,10.702,83,10.974
14.903,0,-0.001,2.419,10.695,83,10.97
14.968,-0.006,-0.004,2.419,10.69,83,10.914
15.032,-0.012,-0.002,2.417,10.683,83,10.92
15.097,-0.02,-0.005,2.417,10.678,83,10.942
15.161,-0.025,0,2.416,10.673,83,10.816
15.226,-0.418,-0.004,2.416,10.667,83,10.518
15.29,0.017,-0.006,2.415,10.662,83,10.212
15.355,0.031,-0.001,2.407,10.645,83,9.952
15.419,-0.004,-0.009,2.398,10.641,85,9.83
15.484,-0.016,-0.005,2.394,10.636,85,9.772
15.548,-0.02,-0.007,2.391,10.631,85,9.736
15.613,-0.008,-0.006,2.385,10.626,85,9.762
15.677,-0.014,-0.004,2.383,10.621,85,9.818
15.742,0.021,-0.003,2.375,10.615,85,9.892
15.806,-0.387,-0.008,2.368,10.611,85,9.94
15.871,0.061,-0.002,2.363,10.606,85,9.962
15.935,0.059,0,2.358,10.601,85,9.976
16,0.007,-0.005,2.354,10.597,85,10.012
16.065,0.006,-0.012,2.352,10.594,87,10.078
16.129,0.029,-0.003,2.349,10.59,87,10.152
16.194,0.028,-0.005,2.347,10.586,87,10.238
16.258,0.021,-0.008,2.345,10.581,87,10.344
16.323,0.013,-0.006,2.344,10.576,87,10.454
16.387,0.022,-0.003,2.344,10.57,87,10.534
16.452,-0.316,0.003,2.342,10.56,87,10.568
16.516,0.064,0.001,2.342,10.522,87,10.546
16.581,0.024,-0.002,2.342,10.51,87,10.472
16.645,-0.005,-0.013,2.342,10.508,90,10.366
16.71,0.025,-0.015,2.342,10.528,90,10.292
16.774,0.033,0.002,2.342,10.54,90,10.278
16.839,0.034,0.017,2.344,10.54,90,10.302
16.903,0.026,0.002,2.344,10.538,90,10.36
16.968,0.052,-0.004,2.34,10.534,90,10.404
17.032,-0.369,-0.003,2.338,10.529,90,10.432
17.097,0.083,0.004,2.337,10.526,90,10.432
17.161,0.11,-0.017,2.337,10.523,90,10.382
17.226,0.069,-0.019,2.337,10.518,90,10.296
17.29,0.03,-0.025,2.339,10.514,90,0
17.355,0.02,-0.005,2.339,10.51,90,0
17.419,0.02,-0.013,2.339,10.508,90,10.16
17.484,0.023,0.011,2.339,10.504,95,10.162
17.548,0.009,0.058,2.338,10.499,95,10.18
17.613,0.031,-0.055,2.337,10.497,95,10.2
17.677,-0.403,-0.025,2.334,10.492,95,10.218
17.742,0.06,-0.003,2.333,10.487,95,10.228
17.806,0.099,0.004,2.332,10.486,95,10.208
17.871,0.03,-0.006,2.33,10.487,95,10.186
17.935,0,-0.018,2.329,10.493,93,10.156
18,0.011,-0.01,2.328,10.506,93,10.14
18.065,0.008,-0.013,2.325,10.523,93,10.126
18.129,0.002,-0.003,2.323,10.541,93,10.116
18.194,-0.013,-0.004,2.322,10.567,93,10.096
18.258,-0.269,-0.005,2.322,10.601,93,10.094
18.323,-0.132,-0.011,2.317,10.734,93,10.102
18.387,0.005,-0.009,2.317,10.785,93,10.116
18.452,0.016,-0.01,2.317,10.835,95,10.118
18.516,0.061,0.032,2.317,10.887,95,10.114
18.581,0.132,-0.036,2.318,10.951,95,10.094
18.645,-0.012,-0.013,2.319,11.034,95,10.09
18.71,-0.021,-0.027,2.322,11.113,95,10.094
18.774,-0.389,0,2.325,11.181,95,10.09
18.839,0.111,0.002,2.331,11.242,95,10.106
18.903,0.202,0.011,2.336,11.293,95,10.112
18.968,0.22,0.009,2.343,11.343,95,10.116
19.032,0.009,-0.004,2.349,11.384,95,10.124
19.097,0.014,-0.004,2.355,11.421,95,10.128
19.161,-0.034,0,2.363,11.454,95,10.13
19.226,-0.023,0.009,2.368,11.476,95,10.134
19.29,0.041,-0.006,2.372,11.491,95,10.146
19.355,0.149,-0.02,2.373,11.499,95,10.158
19.419,-0.211,-0.001,2.379,11.507,95,10.174
19.484,0.093,0.011,2.386,11.521,95,10.162
19.548,0.12,0.008,2.392,11.541,95,10.148
19.613,0.136,-0.017,2.398,11.551,95,10.14
19.677,0.128,-0.021,2.412,11.557,95,10.148
19.742,0.142,-0.012,2.418,11.557,95,10.158
19.806,0.171,-0.008,2.422,11.555,95,10.164
19.871,0.182,-0.004,2.43,11.552,95,10.172
19.935,-0.038,0.002,2.435,11.544,95,10.18
20,0.104,-0.01,2.442,11.537,137,10.19
20.065,0.258,-0.008,2.45,11.529,137,10.192
20.129,0.246,-0.007,2.456,11.519,137,10.212
20.194,0.185,-0.009,2.462,11.509,137,10.244
20.258,0.223,-0.009,2.47,11.498,137,10.312
20.323,0.221,-0.007,2.475,11.483,137,10.392
20.387,0.221,0.005,2.482,11.47,137,10.462
20.452,0.196,-0.012,2.488,11.454,137,10.528
20.516,0.171,0.001,2.493,11.438,137,10.614
20.581,-0.22,-0.002,2.497,11.421,137,10.704
20.645,0.186,-0.004,2.502,11.399,137,10.79
20.71,0.179,0.001,2.507,11.39,137,10.866
20.774,0.093,-0.006,2.511,11.384,137,10.926
20.839,0.134,-0.021,2.514,11.377,137,10.982
20.903,0.123,-0.022,2.518,11.361,137,11.024
20.968,0.111,-0.009,2.521,11.341,137,11.058
21.032,0.031,-0.004,2.522,11.309,137,11.082
21.097,-0.324,-0.008,2.522,11.295,97,11.104
21.161,0.108,-0.004,2.523,11.285,97,11.114
21.226,0.097,-0.013,2.521,11.26,97,11.108
21.29,0.032,-0.007,2.518,11.25,97,11.082
21.355,0.036,-0.011,2.517,11.194,112,11.066
21.419,0.038,-0.004,2.516,11.127,112,11.118
21.484,0.038,0.003,2.514,11.09,112,11.2
21.548,0.033,-0.005,2.512,11.076,112,11.268
21.613,0.023,-0.011,2.509,11.073,112,11.29
21.677,-0.394,-0.005,2.506,11.076,112,11.288
21.742,0.049,-0.007,2.502,11.08,112,11.288
21.806,0.105,0,2.499,11.08,112,11.29
21.871,0.081,0,2.497,11.078,112,11.29
21.935,0.048,-0.006,2.496,11.077,112,11.31
22,0.09,-0.008,2.493,11.071,151,11.336
22.065,0.077,-0.02,2.491,11.067,151,11.364
22.129,0.096,-0.006,2.488,11.066,151,11.356
22.194,0.115,0,2.486,11.07,151,11.324
22.258,0.124,-0.008,2.484,11.076,151,11.254
22.323,0.139,-0.004,2.482,11.073,151,11.134
22.387,-0.271,0.006,2.481,11.067,151,11.008
22.452,0.187,0.009,2.481,11.074,109,10.924
22.516,0.196,0.005,2.479,11.083,109,10.898
22.581,0.152,0.007,2.477,11.096,109,10.904
22.645,0.125,-0.014,2.475,11.116,109,10.946
22.71,0.139,-0.013,2.472,11.143,109,11.144
22.774,0.139,-0.002,2.471,11.183,109,11.142
22.839,0.133,0.001,2.469,11.234,109,11.152
22.903,0.118,-0.001,2.466,11.295,109,11.148
22.968,0.101,0,2.465,11.364,109,11.156
23.032,0.091,-0.002,2.462,11.604,109,11.162
23.097,0.007,-0.009,2.461,11.69,75,11.166
23.161,0.102,-0.001,2.461,11.771,75,11.158
23.226,0.088,0.003,2.461,11.85,75,11.134
23.29,0.017,-0.004,2.462,11.923,75,11.108
23.355,0.042,-0.005,2.466,11.993,75,11.098
23.419,0.03,-0.011,2.47,12.054,75,11.104
23.484,0.019,-0.01,2.476,12.106,75,11.136
23.548,0.008,-0.011,2.482,12.152,75,11.156
23.613,-0.004,-0.012,2.49,12.191,75,11.158
23.677,-0.007,0.002,2.5,12.223,75,11.132
23.742,-0.004,-0.007,2.51,12.249,75,11.122
23.806,-0.025,0.001,2.523,12.273,75,11.122
23.871,0.005,0.003,2.537,12.289,75,11.126
23.935,-0.45,-0.004,2.552,12.3,75,11.13
24,0.056,-0.003,2.566,12.306,75,11.14
24.065,0.066,0.003,2.584,12.311,75,11.148
24.129,0.018,0.009,2.6,12.315,75,11.148
24.194,0.038,0.006,2.616,12.314,84,11.148
24.258,0.037,-0.016,2.631,12.312,84,11.14
24.323,0.025,-0.01,2.647,12.306,84,11.136
24.387,0.018,-0.006,2.662,12.299,84,11.12
24.452,0.015,-0.001,2.674,12.286,84,11.09
24.516,0.008,0,2.687,12.27,84,11.068
24.581,0.007,-0.002,2.698,12.254,84,11.062
24.645,-0.004,-0.012,2.708,12.236,84,11.058
24.71,-0.218,-0.006,2.717,12.218,84,11.056
24.774,-0.168,-0.015,2.726,12.198,84,11.044
24.839,0.1,-0.009,2.732,12.177,84,11.036
24.903,0.116,0.001,2.738,12.156,84,11.026
24.968,0.045,-0.007,2.743,12.132,84,11.022
25.032,0.066,-0.01,2.75,12.11,72,11.012
25.097,0.076,-0.004,2.753,12.088,72,10.99
25.161,0.072,-0.006,2.754,12.065,72,10.956
25.226,0.066,-0.002,2.757,12.042,72,10.926
25.29,0.067,-0.006,2.757,12.022,72,10.892
25.355,0.07,-0.011,2.757,12.003,72,10.834
25.419,0.072,-0.003,2.755,11.986,72,10.772
25.484,0.077,-0.007,2.755,11.972,72,10.734
25.548,-0.377,-0.007,2.753,11.959,72,10.724
25.613,0.134,-0.003,2.749,11.947,72,10.71
25.677,0.169,-0.007,2.748,11.937,72,10.694
25.742,0.158,0.003,2.745,11.927,72,10.658
25.806,0.093,-0.006,2.738,11.907,72,10.598
25.871,0.129,-0.011,2.735,11.896,72,10.534
25.935,0.119,-0.003,2.732,11.885,72,10.504
26,0.111,-0.001,2.73,11.872,72,10.494
26.065,0.092,0.001,2.728,11.86,72,10.506
26.129,0.066,0.004,2.727,11.847,72,10.524
26.194,0.042,-0.009,2.725,11.834,72,10.572
26.258,-0.012,0.005,2.725,11.822,73,10.656
26.323,-0.343,-0.033,2.723,11.808,73,10.76
26.387,0.042,-0.008,2.722,11.795,73,10.812
26.452,0.033,-0.013,2.722,11.784,73,10.816
26.516,-0.016,-0.007,2.721,11.772,73,10.838
26.581,-0.01,-0.013,2.722,11.758,73,10.902
26.645,-0.009,-0.009,2.72,11.746,73,10.99
26.71,-0.018,-0.013,2.718,11.732,73,11.098
26.774,-0.045,-0.009,2.717,11.718,73,11.088
26.839,0.032,-0.012,2.717,11.705,73,11.056
26.903,-0.029,-0.003,2.715,11.692,73,11.024
26.968,0.11,0.001,2.712,11.678,73,11
27.032,0.629,-0.003,2.711,11.665,73,11.004
27.097,-0.431,-0.006,2.708,11.652,73,11.012
27.161,0.448,-0.007,2.706,11.639,73,11.036
27.226,-0.072,-0.01,2.702,11.625,73,11.064
27.29,-0.153,0,2.7,11.613,73,11.09
27.355,-0.211,-0.007,2.696,11.6,73,11.118
27.419,-0.12,-0.008,2.693,11.588,73,11.146
27.484,-0.012,-0.004,2.69,11.575,73,11.166
27.548,0.178,-0.005,2.686,11.562,73,11.176
27.613,0.432,-0.005,2.673,11.527,73,11.186
27.677,1.191,-0.007,2.668,11.516,73,11.19
27.742,0.785,-0.003,2.663,11.504,73,11.202
27.806,1.404,-0.004,2.658,11.493,71,11.21
27.871,1.277,-0.004,2.654,11.482,71,11.218
27.935,1.187,0.001,2.651,11.472,71,11.214
28,1.113,-0.009,2.645,11.464,71,11.21
28.065,0.918,-0.006,2.641,11.463,71,11.166
28.129,0.819,-0.011,2.629,11.455,71,11.12
28.194,0.662,0.002,2.624,11.456,71,11.098
28.258,0.616,0,2.62,11.456,71,11.09
28.323,0.58,-0.007,2.616,11.458,71,11.078
28.387,0.53,-0.009,2.611,11.46,71,11.076
28.452,0.147,-0.004,2.604,11.461,71,11.08
28.516,0.673,-0.008,2.601,11.466,71,11.092
28.581,0.546,-0.008,2.595,11.476,71,11.12
28.645,0.472,-0.006,2.589,11.488,71,11.134
28.71,0.359,-0.011,2.586,11.503,71,11.12
28.774,0.344,-0.016,2.581,11.518,71,11.088
28.839,0.328,-0.011,2.578,11.533,71,11.036
28.903,0.328,-0.003,2.572,11.546,71,10.964
28.968,0.278,-0.014,2.569,11.558,71,10.912
29.032,0.284,0,2.566,11.57,71,10.894
29.097,0.31,0.015,2.562,11.578,71,10.908
29.161,0.421,0.007,2.558,11.584,71,10.936
29.226,-0.138,0.015,2.554,11.59,71,10.978
29.29,0.353,0.017,2.551,11.591,71,11.032
29.355,0.269,0.006,2.548,11.579,71,11.076
29.419,0.165,0.015,2.544,11.554,71,11.086
29.484,0.136,-0.032,2.542,11.525,71,11.056
29.548,0.112,-0.009,2.539,11.498,71,11.014
29.613,0.089,-0.009,2.536,11.474,71,11.008
29.677,0.067,-0.006,2.532,11.45,71,11.022
29.742,0.042,-0.009,2.531,11.43,71,11.024
29.806,0.013,-0.017,2.527,11.417,71,11.018
29.871,0.029,-0.007,2.526,11.404,71,11.008
29.935,-0.395,-0.01,2.522,11.39,71,11.012
30,0.019,-0.011,2.521,11.374,71,11.03
30.065,0.009,0,2.518,11.357,71,11.052
30.129,-0.05,0.009,2.512,11.328,71,11.068
30.194,-0.034,-0.011,2.512,11.317,71,11.074
30.258,-0.042,-0.001,2.508,11.303,71,11.048
30.323,-0.072,-0.013,2.504,11.292,71,11.01
30.387,-0.093,-0.006,2.503,11.281,71,10.964
30.452,-0.086,-0.003,2.501,11.271,71,10.956
30.516,-0.443,-0.009,2.498,11.261,71,10.948
30.581,-0.045,0,2.497,11.251,71,10.93
30.645,-0.044,-0.021,2.492,11.24,71,10.91
30.71,-0.131,-0.01,2.489,11.235,71,10.944
30.774,-0.076,-0.015,2.487,11.235,71,10.92
30.839,-0.086,-0.016,2.484,11.231,71,10.902
30.903,-0.11,-0.009,2.482,11.229,71,10.894
30.968,-0.094,0.006,2.481,11.225,71,10.892
31.032,-0.096,0.01,2.477,11.221,71,10.894
31.097,-0.586,-0.009,2.476,11.221,71,10.9
31.161,-0.098,0.001,2.472,11.216,71,10.908
31.226,-0.098,-0.001,2.469,11.215,71,10.914
31.29,-0.098,-0.001,2.469,11.215,71,10.916
31.355,-0.185,-0.009,2.464,11.222,71,10.916
31.419,-0.181,-0.009,2.461,11.226,71,10.916
31.484,-0.204,-0.002,2.459,11.227,71,10.92
31.548,-0.217,-0.022,2.456,11.229,71,10.92
31.613,-0.222,-0.02,2.452,11.229,71,10.922
31.677,-0.738,0.004,2.452,11.23,71,10.922
31.742,-0.191,-0.006,2.449,11.231,71,10.912
31.806,-0.168,0,2.446,11.235,71,10.894
31.871,-0.162,0,2.445,11.24,71,10.866
31.935,-0.262,-0.012,2.442,11.247,71,10.812
32,-0.256,-0.008,2.44,11.251,71,10.728
32.065,-0.266,-0.001,2.439,11.25,71,10.646
32.129,-0.273,-0.003,2.436,11.246,71,10.604
32.194,-0.284,0,2.431,11.242,71,10.604
32.258,-0.284,0,2.431,11.242,71,10.59
32.323,-0.796,-0.009,2.426,11.253,71,10.548
32.387,-0.218,0.002,2.425,11.262,71,10.51
32.452,-0.235,-0.002,2.424,11.276,71,10.49
32.516,-0.301,-0.006,2.421,11.288,71,10.484
32.581,-0.273,-0.008,2.42,11.303,71,10.484
32.645,-0.276,-0.004,2.417,11.317,71,10.476
32.71,-0.277,-0.01,2.416,11.33,71,10.484
32.774,-0.28,0.004,2.414,11.339,71,10.522
32.839,-0.284,-0.002,2.412,11.348,71,10.568
32.903,-0.753,-0.011,2.411,11.354,71,10.614
32.968,-0.238,-0.004,2.411,11.359,71,10.638
33.032,-0.199,0.001,2.41,11.364,71,10.664
33.097,-0.173,-0.014,2.409,11.367,71,10.67
33.161,-0.252,-0.004,2.406,11.372,71,10.684
33.226,-0.237,-0.01,2.406,11.374,71,10.702
33.29,-0.212,-0.004,2.404,11.376,71,10.736
